index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,FRTH,Firth,2008-06-30,2008-09-30,,,,,
1,FRTH,Firth,2008-10-01,2008-12-31,,,,,
2,FRTH,Firth,2009-01-01,2009-03-31,,,,,
3,FRTH,Firth,2009-04-01,2009-06-30,,,,,
4,FRTH,Firth,2009-07-01,2009-09-30,,,,,
5,FRTH,Firth,2009-10-01,2009-12-31,,,,,
6,FRTH,Firth,2010-01-01,2010-03-31,,,,,
7,FRTH,Firth,2010-04-01,2010-06-30,,,,,
8,FRTH,Firth,2010-07-01,2010-08-31,,,,,
9,FRTH,Firth,2010-09-01,2010-10-31,,,,,
10,FRTH,Firth,2010-11-01,2010-12-31,,,,,
11,FRTH,Firth,2011-01-01,2011-02-28,,,,,
12,FRTH,Firth,2011-03-01,2011-04-30,,,,,
13,FRTH,Firth,2011-05-01,2011-06-30,,,,,
14,FRTH,Firth,2011-07-01,2011-08-31,,,,,
15,FRTH,Firth,2011-09-01,2011-10-31,,,,,
16,FRTH,Firth,2011-11-01,2011-12-31,,,,,
17,FRTH,Firth,2012-01-01,2012-02-29,,,,,
18,FRTH,Firth,2012-03-01,2012-04-30,,,,,
19,FRTH,Firth,2012-05-01,2012-06-30,,,,,
20,FRTH,Firth,2012-07-01,2012-07-31,,,,,
21,FRTH,Firth,2012-08-01,2012-08-31,,,,,
22,FRTH,Firth,2012-09-01,2012-09-30,,,,,
23,FRTH,Firth,2012-10-01,2012-10-31,,,,,
24,FRTH,Firth,2012-11-01,2012-11-30,,,,,
25,FRTH,Firth,2012-12-01,2012-12-31,,,,,
26,FRTH,Firth,2013-01-01,2013-01-31,,,,,
27,FRTH,Firth,2013-02-01,2013-02-28,,,,,
28,FRTH,Firth,2013-03-01,2013-03-31,,,,,
29,FRTH,Firth,2013-04-01,2013-04-30,,,,,
30,FRTH,Firth,2013-05-01,2013-05-31,,,,,
31,FRTH,Firth,2013-06-01,2013-06-30,,,,,
32,FRTH,Firth,2013-07-01,2013-07-31,,,,,
33,FRTH,Firth,2013-08-01,2013-08-31,,,,,
34,FRTH,Firth,2013-09-01,2013-09-30,,,,,
35,FRTH,Firth,2013-10-01,2013-10-31,,,,,
36,FRTH,Firth,2013-11-01,2013-11-30,,,,,
37,FRTH,Firth,2013-12-01,2013-12-31,,,,,
38,FRTH,Firth,2014-01-01,2014-01-31,,,,,
39,FRTH,Firth,2014-02-01,2014-02-28,,,,,
40,FRTH,Firth,2014-03-01,2014-03-31,,,,,
41,FRTH,Firth,2014-04-01,2014-04-30,,,,,
42,FRTH,Firth,2014-05-01,2014-05-31,,,,,
43,FRTH,Firth,2014-06-01,2014-06-30,,,,,
44,FRTH,Firth,2014-07-01,2014-07-31,,,,,
45,FRTH,Firth,2014-08-01,2014-08-31,,,,,
46,FRTH,Firth,2014-09-01,2014-09-30,,,,,
47,FRTH,Firth,2014-10-01,2014-10-31,,,,,
48,FRTH,Firth,2014-11-01,2014-11-30,,,,,
49,FRTH,Firth,2014-12-01,2014-12-31,,,,,
50,FRTH,Firth,2015-01-01,2015-01-31,,,,,
51,FRTH,Firth,2015-02-01,2015-02-28,,,,,
52,FRTH,Firth,2015-03-01,2015-03-31,,,,,
53,FRTH,Firth,2015-04-01,2015-04-30,,,,,
54,FRTH,Firth,2015-05-01,2015-05-31,,,,,
55,FRTH,Firth,2015-06-01,2015-06-30,,,,,
56,FRTH,Firth,2015-07-01,2015-07-31,,,,,
57,FRTH,Firth,2015-08-01,2015-08-31,,,,,
58,FRTH,Firth,2015-09-01,2015-09-30,,,,,
59,FRTH,Firth,2015-10-01,2015-10-31,,,,,
60,FRTH,Firth,2015-11-01,2015-11-30,,,,,
61,FRTH,Firth,2015-12-01,2015-12-31,,,,,
62,FRTH,Firth,2016-01-01,2016-01-31,,,,,
63,FRTH,Firth,2016-02-01,2016-02-29,,,,,
64,FRTH,Firth,2016-03-01,2016-03-31,,,,,
65,FRTH,Firth,2016-04-01,2016-04-30,,,,,
66,FRTH,Firth,2016-05-01,2016-05-31,,,,,
67,FRTH,Firth,2016-06-01,2016-06-30,,,,,
68,FRTH,Firth,2016-07-01,2016-07-31,,,,,
69,FRTH,Firth,2016-08-01,2016-08-31,,,,,
70,FRTH,Firth,2016-09-01,2016-09-30,,,,,
