index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,GRON,Garonne,6/30/08,7/31/08,,274.0,,ResultsList_gron_index0,1.0
1,GRON,Garonne,8/1/08,8/31/08,,959.0,,ResultsList_gron_index1,1.0
2,GRON,Garonne,9/1/09,9/30/09,,722.0,,ResultsList_gron_index2,1.0
3,GRON,Garonne,10/1/09,10/10/09,,196.0,,ResultsList_gron_index3,1.0
4,GRON,Garonne,10/11/09,10/17/09,,112.0,,ResultsList_gron_index4,1.0
5,GRON,Garonne,10/18/09,10/24/09,,116.0,,ResultsList_gron_index5,1.0
6,GRON,Garonne,10/25/09,10/31/09,,109.0,,ResultsList_gron_index6,1.0
7,GRON,Garonne,11/1/09,11/7/09,,89.0,,ResultsList_gron_index7,1.0
8,GRON,Garonne,11/8/09,11/14/09,,121.0,,ResultsList_gron_index8,1.0
9,GRON,Garonne,11/15/09,11/21/09,,114.0,,ResultsList_gron_index9,1.0
10,GRON,Garonne,11/22/09,11/28/09,,119.0,,ResultsList_gron_index10,1.0
11,GRON,Garonne,11/29/09,12/5/09,,143.0,,ResultsList_gron_index11,1.0
12,GRON,Garonne,12/6/09,12/12/09,,147.0,,ResultsList_gron_index12,1.0
13,GRON,Garonne,12/13/09,12/19/09,,117.0,,ResultsList_gron_index13,1.0
14,GRON,Garonne,12/20/09,12/26/09,,100.0,,ResultsList_gron_index14,1.0
15,GRON,Garonne,12/27/09,1/2/10,,96.0,,ResultsList_gron_index15,1.0
16,GRON,Garonne,1/3/10,1/9/10,,125.0,,ResultsList_gron_index16,1.0
17,GRON,Garonne,1/10/10,1/16/10,,131.0,,ResultsList_gron_index17,1.0
18,GRON,Garonne,1/17/10,1/23/10,,162.0,,ResultsList_gron_index18,1.0
19,GRON,Garonne,1/24/10,1/30/10,,122.0,,ResultsList_gron_index19,1.0
20,GRON,Garonne,1/31/10,2/6/10,,126.0,,ResultsList_gron_index20,1.0
21,GRON,Garonne,2/7/10,2/13/10,,135.0,,ResultsList_gron_index21,1.0
22,GRON,Garonne,2/14/10,2/20/10,,130.0,,ResultsList_gron_index22,1.0
23,GRON,Garonne,2/21/10,2/27/10,,130.0,,ResultsList_gron_index23,1.0
24,GRON,Garonne,2/28/10,3/6/10,,140.0,,ResultsList_gron_index24,1.0
25,GRON,Garonne,3/7/10,3/13/10,,126.0,,ResultsList_gron_index25,1.0
26,GRON,Garonne,3/14/10,3/20/10,,130.0,,ResultsList_gron_index26,1.0
27,GRON,Garonne,3/21/10,3/27/10,,166.0,,ResultsList_gron_index27,1.0
