index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,HANX,Han,06/30/2008,06/30/2010,,,,,
1,HANX,Han,07/01/2010,06/30/2012,,,,,
2,HANX,Han,07/01/2012,06/30/2013,,,,,
3,HANX,Han,07/01/2013,06/30/2014,,,,,
4,HANX,Han,07/01/2014,06/30/2015,,,,,
5,HANX,Han,07/01/2015,06/30/2016,,,,,
6,HANX,Han,07/01/2016,05/31/2017,,,,,
7,HANX,Han,06/01/2017,07/31/2017,,,,,
8,HANX,Han,08/01/2017,09/30/2017,,,,,
9,HANX,Han,10/01/2017,11/30/2017,,,,,
10,HANX,Han,12/01/2017,01/31/2018,,,,,
11,HANX,Han,02/01/2018,03/31/2018,,,,,
12,HANX,Han,04/01/2018,05/31/2018,,,,,
13,HANX,Han,06/01/2018,07/31/2018,,,,,
14,HANX,Han,08/01/2018,09/30/2018,,,,,
15,HANX,Han,10/01/2018,11/30/2018,,,,,
16,HANX,Han,12/01/2018,01/31/2019,,,,,
17,HANX,Han,02/01/2019,03/31/2019,,,,,
18,HANX,Han,04/01/2019,05/31/2019,,,,,
19,HANX,Han,06/01/2019,07/31/2019,,,,,
20,HANX,Han,08/01/2019,09/30/2019,,,,,
21,HANX,Han,10/01/2019,11/30/2019,,,,,
22,HANX,Han,12/01/2019,01/31/2020,,,,,
23,HANX,Han,02/01/2020,03/31/2020,,,,,
24,HANX,Han,04/01/2020,05/31/2020,,,,,
25,HANX,Han,06/01/2020,07/31/2020,,,,,
26,HANX,Han,08/01/2020,09/30/2020,,,,,
27,HANX,Han,10/01/2020,11/30/2020,,,,,
28,HANX,Han,12/01/2020,01/31/2021,,,,,
29,HANX,Han,02/01/2021,03/31/2021,,,,,
30,HANX,Han,04/01/2021,05/31/2021,,,,,
31,HANX,Han,06/01/2021,07/31/2021,,,,,
32,HANX,Han,08/01/2021,09/30/2021,,,,,
33,HANX,Han,10/01/2021,11/30/2021,,,,,
34,HANX,Han,12/01/2021,01/31/2022,,,,,
35,HANX,Han,02/01/2022,03/31/2022,,,,,
36,HANX,Han,04/01/2022,05/31/2022,,,,,
37,HANX,Han,06/01/2022,07/31/2022,,,,,
38,HANX,Han,08/01/2022,09/30/2022,,,,,
39,HANX,Han,10/01/2022,11/30/2022,,,,,
40,HANX,Han,12/01/2022,01/31/2023,,,,,
41,HANX,Han,02/01/2023,03/31/2023,,,,,
42,HANX,Han,04/01/2023,05/31/2023,,,,,
43,HANX,Han,06/01/2023,07/31/2023,,,,,
44,HANX,Han,08/01/2023,09/30/2023,,,,,
45,HANX,Han,10/01/2023,11/30/2023,,,,,
46,HANX,Han,12/01/2023,01/31/2024,,,,,
47,HANX,Han,02/01/2024,03/15/2024,,,,,
