index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished,Unnamed: 10,Unnamed: 11
0,IRWD,Irrawaddy,2008-06-30,2008-12-31,,,,,,,
1,IRWD,Irrawaddy,2009-01-01,2009-06-30,,,,,,,
2,IRWD,Irrawaddy,2009-07-01,2009-12-31,,,,,,,
3,IRWD,Irrawaddy,2010-01-01,2010-06-30,,,,,,,
4,IRWD,Irrawaddy,2010-07-01,2010-12-31,,,,,,,
5,IRWD,Irrawaddy,2011-01-01,2011-06-30,,,,,,,
6,IRWD,Irrawaddy,2011-07-01,2011-12-31,,,,,,,
7,IRWD,Irrawaddy,2012-01-01,2012-06-30,,,,,,,2019-07-01
8,IRWD,Irrawaddy,2012-07-01,2012-12-31,,,,,,,
9,IRWD,Irrawaddy,2013-01-01,2013-06-30,,,,,,,
10,IRWD,Irrawaddy,2013-07-01,2013-09-30,,,,,,,
11,IRWD,Irrawaddy,2013-10-01,2013-12-31,,,,,,,
12,IRWD,Irrawaddy,2014-01-01,2043-03-31,,,,,,,
13,IRWD,Irrawaddy,2014-04-01,2014-05-31,,,,,,,
14,IRWD,Irrawaddy,2014-06-01,2014-07-31,,,,,,,
15,IRWD,Irrawaddy,2014-08-01,2014-09-30,,,,,,,
16,IRWD,Irrawaddy,2014-10-01,2014-11-30,,,,,,,
17,IRWD,Irrawaddy,2014-12-01,2015-01-31,,,,,,,
18,IRWD,Irrawaddy,2015-02-01,2015-03-31,,,,,,,
19,IRWD,Irrawaddy,2015-04-01,2015-05-31,,,,,,,
20,IRWD,Irrawaddy,2015-06-01,2015-07-31,,,,,,,
21,IRWD,Irrawaddy,2015-08-01,2015-09-30,,,,,,,
22,IRWD,Irrawaddy,2015-10-01,2015-11-30,,,,,,,
23,IRWD,Irrawaddy,2015-12-01,2016-01-31,,,,,,,
24,IRWD,Irrawaddy,2016-02-01,2016-03-31,,,,,,,
25,IRWD,Irrawaddy,2016-04-01,2016-05-31,,,,,,,
26,IRWD,Irrawaddy,2016-06-01,2016-07-31,,,,,,,
27,IRWD,Irrawaddy,2016-08-01,2016-09-30,,,,,,,
28,IRWD,Irrawaddy,2016-10-01,2016-11-30,,,,,,,
29,IRWD,Irrawaddy,2016-12-01,2017-01-31,,,,,,,
30,IRWD,Irrawaddy,2017-02-01,2017-03-31,,,,,,,
31,IRWD,Irrawaddy,2017-04-01,2017-05-31,,,,,,,
32,IRWD,Irrawaddy,2017-06-01,2017-06-30,,,,,,,
33,IRWD,Irrawaddy,2017-07-01,2017-07-31,,,,,,,
34,IRWD,Irrawaddy,2017-08-01,2017-08-31,,,,,,,
35,IRWD,Irrawaddy,2017-09-01,2017-09-30,,,,,,,
36,IRWD,Irrawaddy,2017-10-01,2017-10-31,,,,,,,
37,IRWD,Irrawaddy,2017-11-01,2017-11-30,,,,,,,
38,IRWD,Irrawaddy,2017-12-01,2017-12-31,,,,,,,
39,IRWD,Irrawaddy,2018-01-01,2018-01-31,,,,,,,
40,IRWD,Irrawaddy,2018-02-01,2018-02-28,,,,,,,
41,IRWD,Irrawaddy,2018-03-01,2018-03-31,,,,,,,
42,IRWD,Irrawaddy,2018-04-01,2018-04-30,,,,,,,
43,IRWD,Irrawaddy,2018-05-01,2018-05-31,,,,,,,
44,IRWD,Irrawaddy,2018-06-01,2018-06-30,,,,,,,
45,IRWD,Irrawaddy,2018-07-01,2018-07-31,,,,,,,
46,IRWD,Irrawaddy,2018-08-01,2018-08-31,,,,,,,
47,IRWD,Irrawaddy,2018-09-01,2018-09-30,,,,,,,
48,IRWD,Irrawaddy,2018-10-01,2018-10-31,,,,,,,
49,IRWD,Irrawaddy,2018-11-01,2018-11-30,,,,,,,
50,IRWD,Irrawaddy,2018-12-01,2018-12-31,,,,,,,
51,IRWD,Irrawaddy,2019-01-01,2019-01-31,,,,,,,
52,IRWD,Irrawaddy,2019-02-01,2019-03-31,,,,,,,
53,IRWD,Irrawaddy,2019-04-01,2019-05-31,,,,,,,
54,IRWD,Irrawaddy,2019-06-01,2019-07-31,,,,,,,
55,IRWD,Irrawaddy,2019-08-01,2019-09-30,,,,,,,
56,IRWD,Irrawaddy,2019-10-01,2019-11-30,,,,,,,
57,IRWD,Irrawaddy,2019-12-01,2020-01-31,,,,,,,
58,IRWD,Irrawaddy,2020-02-01,2020-03-31,,,,,,,
59,IRWD,Irrawaddy,2020-04-01,2020-05-31,,,,,,,
60,IRWD,Irrawaddy,2020-06-01,2020-07-31,,,,,,,
61,IRWD,Irrawaddy,2020-08-01,2020-09-30,,,,,,,
62,IRWD,Irrawaddy,2020-10-01,2020-11-30,,,,,,,
63,IRWD,Irrawaddy,2020-12-01,2021-01-31,,,,,,,
64,IRWD,Irrawaddy,2021-02-01,2021-03-31,,,,,,,
65,IRWD,Irrawaddy,2021-04-01,2021-05-31,,,,,,,
66,IRWD,Irrawaddy,2021-06-01,2021-08-31,,,,,,,
67,IRWD,Irrawaddy,2021-09-01,2021-09-30,,,,,,,
68,IRWD,Irrawaddy,2021-10-01,2021-12-31,,,,,,,
69,IRWD,Irrawaddy,2022-01-01,2022-03-31,,,,,,,
70,IRWD,Irrawaddy,2022-04-01,2022-06-30,,,,,,,
71,IRWD,Irrawaddy,2022-07-01,2022-09-30,,,,,,,
72,IRWD,Irrawaddy,2022-10-01,2022-12-31,,,,,,,
73,IRWD,Irrawaddy,2023-01-01,2023-03-31,,,,,,,
74,IRWD,Irrawaddy,2023-04-01,2023-06-30,,,,,,,
75,IRWD,Irrawaddy,2023-07-01,2023-09-30,,,,,,,
76,IRWD,Irrawaddy,2023-10-01,2023-12-31,,,,,,,
77,IRWD,Irrawaddy,2024-01-01,2024-03-15,,,,,,,
