index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,LKPP,Lake Prespa,2008-06-30,2008-09-30,,,,,
1,LKPP,Lake Prespa,2008-10-01,2008-12-31,,,,,
2,LKPP,Lake Prespa,2009-01-01,2009-03-31,,,,,
3,LKPP,Lake Prespa,2009-04-01,2009-06-30,,,,,
4,LKPP,Lake Prespa,2009-07-01,2009-09-30,,,,,
5,LKPP,Lake Prespa,2009-10-01,2009-12-31,,,,,
6,LKPP,Lake Prespa,2010-01-01,2010-03-31,,,,,
7,LKPP,Lake Prespa,2010-04-01,2010-06-30,,,,,
8,LKPP,Lake Prespa,2010-07-01,2010-09-30,,,,,
9,LKPP,Lake Prespa,2010-10-01,2010-12-31,,,,,
10,LKPP,Lake Prespa,2011-01-01,2011-03-31,,,,,
11,LKPP,Lake Prespa,2011-04-01,2011-06-30,,,,,
12,LKPP,Lake Prespa,2011-07-01,2011-09-30,,,,,
13,LKPP,Lake Prespa,2011-10-01,2011-12-31,,,,,
14,LKPP,Lake Prespa,2012-01-01,2012-03-31,,,,,
15,LKPP,Lake Prespa,2012-04-01,2012-06-30,,,,,
16,LKPP,Lake Prespa,2012-07-01,2012-07-31,,,,,
17,LKPP,Lake Prespa,2012-08-01,2012-08-31,,,,,
18,LKPP,Lake Prespa,2012-09-01,2012-09-30,,,,,
19,LKPP,Lake Prespa,2012-10-01,2012-10-31,,,,,
20,LKPP,Lake Prespa,2012-11-01,2012-11-30,,,,,
21,LKPP,Lake Prespa,2012-12-01,2012-12-31,,,,,
22,LKPP,Lake Prespa,2013-01-01,2013-01-31,,,,,
23,LKPP,Lake Prespa,2013-02-01,2013-02-28,,,,,
24,LKPP,Lake Prespa,2013-03-01,2013-03-31,,,,,
25,LKPP,Lake Prespa,2013-04-01,2013-04-30,,,,,
26,LKPP,Lake Prespa,2013-05-01,2013-05-31,,,,,
27,LKPP,Lake Prespa,2013-06-01,2013-06-30,,,,,
28,LKPP,Lake Prespa,2013-07-01,2013-07-31,,,,,
29,LKPP,Lake Prespa,2013-08-01,2013-08-31,,,,,
30,LKPP,Lake Prespa,2013-09-01,2013-09-30,,,,,
31,LKPP,Lake Prespa,2013-10-01,2013-10-31,,,,,
32,LKPP,Lake Prespa,2013-11-01,2013-11-30,,,,,
33,LKPP,Lake Prespa,2013-12-01,2013-12-31,,,,,
34,LKPP,Lake Prespa,2014-01-01,2014-01-31,,,,,
35,LKPP,Lake Prespa,2014-02-01,2014-02-28,,,,,
36,LKPP,Lake Prespa,2014-03-01,2014-03-31,,,,,
37,LKPP,Lake Prespa,2014-04-01,2014-04-30,,,,,
38,LKPP,Lake Prespa,2014-05-01,2014-05-31,,,,,
39,LKPP,Lake Prespa,2014-06-01,2014-06-30,,,,,
40,LKPP,Lake Prespa,2014-07-01,2014-07-31,,,,,
41,LKPP,Lake Prespa,2014-08-01,2014-08-31,,,,,
42,LKPP,Lake Prespa,2014-09-01,2014-09-30,,,,,
43,LKPP,Lake Prespa,2014-10-01,2014-10-31,,,,,
44,LKPP,Lake Prespa,2014-11-01,2014-11-30,,,,,
