index,basin,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,buzi,01/01/1951,12/31/1994,,881,,,
1,buzi,01/01/1995,12/31/1997,,651,,,
2,buzi,01/01/1998,06/30/2000,,854,,,
3,buzi,07/01/2000,06/30/2002,,988,,,
4,buzi,07/01/2002,06/30/2003,,922,,,
5,buzi,07/01/2003,09/30/2005,,983,,,
6,buzi,10/01/2005,12/31/2007,,963,,,
7,buzi,01/01/2008,08/31/2009,,996,,,
8,buzi,09/01/2009,12/31/2010,,999,,,
9,buzi,01/01/2011,12/31/2011,,969,,,
10,buzi,01/01/2012,08/31/2012,,959,,,
11,buzi,09/01/2012,04/30/2013,,949,,,
12,buzi,05/01/2013,10/31/2013,,950,,,
13,buzi,11/01/2013,06/30/2014,,903,,,
14,buzi,07/01/2014,03/31/2015,,886,,,
15,buzi,04/01/2015,09/30/2015,,907,,,
16,buzi,10/01/2015,02/29/2016,,959,,,
17,buzi,03/01/2016,05/31/2016,,782,,,
18,buzi,06/01/2016,06/30/2016,,538,,,
19,buzi,07/01/2016,07/31/2016,,764,,,
20,buzi,08/01/2016,08/07/2016,,751,,,
21,buzi,08/08/2016,08/15/2016,,815,,,
22,buzi,08/16/2016,08/31/2016,,868,,,
23,buzi,09/01/2016,10/31/2016,,862,,,
24,buzi,11/01/2016,03/31/2017,,941,,,
25,buzi,04/01/2017,08/31/2017,,909,,,
26,buzi,09/01/2017,11/30/2017,,929,,,
27,buzi,12/01/2017,03/15/2018,,909,,,
28,buzi,03/16/2018,05/31/2018,,798,,,
29,buzi,06/01/2018,08/31/2018,,846,,,
30,buzi,09/01/2018,11/30/2018,,920,,,
31,buzi,12/01/2018,03/31/2019,,802,,,
32,buzi,04/01/2019,07/31/2019,,897,,,
33,buzi,08/01/2019,11/30/2019,,908,,,
34,buzi,12/01/2019,05/31/2020,,953,,,
35,buzi,06/01/2020,10/31/2020,,921,,,
36,buzi,11/01/2020,03/31/2021,,974,,,
37,buzi,04/01/2021,07/31/2021,,790,,,
38,buzi,08/01/2021,11/30/2021,,854,,,
39,buzi,12/01/2021,04/30/2022,,870,,,
40,buzi,05/01/2022,09/30/2022,,963,,,
41,buzi,10/01/2022,03/01/2023,,945,,,
42,buzi,03/02/2023,06/30/2023,,850,,,
43,buzi,07/01/2023,07/31/2023,,365,,,
