index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,CNCT,Connecticut,06/30/2008,03/31/2010,,,,,
1,CNCT,Connecticut,04/01/2010,12/31/2011,,,,,
2,CNCT,Connecticut,01/01/2012,12/31/2012,,,,,
3,CNCT,Connecticut,01/01/2013,12/31/2013,,,,,
4,CNCT,Connecticut,01/01/2014,12/31/2014,,,,,
5,CNCT,Connecticut,01/01/2015,12/31/2015,,,,,
6,CNCT,Connecticut,01/01/2016,12/31/2016,,,,,
7,CNCT,Connecticut,01/01/2017,08/31/2017,,,,,
8,CNCT,Connecticut,09/01/2017,03/31/2018,,,,,
9,CNCT,Connecticut,04/01/2018,10/31/2018,,,,,
10,CNCT,Connecticut,11/01/2018,05/31/2018,,,,,
11,CNCT,Connecticut,06/01/2018,12/31/2018,,,,,
12,CNCT,Connecticut,01/01/2019,07/31/2019,,,,,
13,CNCT,Connecticut,08/01/2019,01/31/2019,,,,,
14,CNCT,Connecticut,07/31/2019,12/31/2019,,,,,
15,CNCT,Connecticut,01/01/2020,12/31/2020,,,,,
16,CNCT,Connecticut,01/01/2021,12/31/2021,,,,,
17,CNCT,Connecticut,01/01/2022,12/31/2022,,,,,
18,CNCT,Connecticut,01/01/2023,07/01/2023,,,,,
19,CNCT,Connecticut,07/02/2023,03/15/2024,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
