index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,LKUN,Lake Ubsa-Nur,2008-06-30,2009-12-31,,,,,
1,LKUN,Lake Ubsa-Nur,2010-01-01,2010-06-30,,,,,
2,LKUN,Lake Ubsa-Nur,2010-07-01,2010-12-31,,,,,
3,LKUN,Lake Ubsa-Nur,2011-01-01,2011-06-30,,,,,
4,LKUN,Lake Ubsa-Nur,2011-07-01,2011-12-31,,,,,
5,LKUN,Lake Ubsa-Nur,2012-01-01,2012-06-30,,,,,
6,LKUN,Lake Ubsa-Nur,2012-07-01,2012-12-31,,,,,
7,LKUN,Lake Ubsa-Nur,2013-01-01,2013-06-30,,,,,
8,LKUN,Lake Ubsa-Nur,2013-07-01,2013-12-31,,,,,
9,LKUN,Lake Ubsa-Nur,2014-01-01,2014-06-30,,,,,
10,LKUN,Lake Ubsa-Nur,2014-07-01,2014-12-31,,,,,
11,LKUN,Lake Ubsa-Nur,2015-01-01,2015-06-30,,,,,
12,LKUN,Lake Ubsa-Nur,2015-07-01,2015-12-31,,,,,
13,LKUN,Lake Ubsa-Nur,2016-01-01,2016-06-30,,,,,
14,LKUN,Lake Ubsa-Nur,2016-07-01,2016-12-31,,,,,
15,LKUN,Lake Ubsa-Nur,2017-01-01,2017-06-30,,,,,
16,LKUN,Lake Ubsa-Nur,2017-07-01,2017-08-15,,,,,
17,LKUN,Lake Ubsa-Nur,2017-08-16,2017-08-31,,,,,
18,LKUN,Lake Ubsa-Nur,2017-09-01,2017-09-15,,,,,
19,LKUN,Lake Ubsa-Nur,2017-09-16,2017-09-30,,,,,
20,LKUN,Lake Ubsa-Nur,2017-10-01,2017-10-15,,,,,
21,LKUN,Lake Ubsa-Nur,2017-10-16,2017-10-31,,,,,
22,LKUN,Lake Ubsa-Nur,2017-11-01,2017-11-15,,,,,
23,LKUN,Lake Ubsa-Nur,2017-11-16,2017-11-30,,,,,
24,LKUN,Lake Ubsa-Nur,2017-12-01,2017-12-15,,,,,
25,LKUN,Lake Ubsa-Nur,2017-12-16,2017-12-31,,,,,
26,LKUN,Lake Ubsa-Nur,2018-01-01,2018-01-15,,,,,
27,LKUN,Lake Ubsa-Nur,2018-01-16,2018-01-31,,,,,
28,LKUN,Lake Ubsa-Nur,2018-02-01,2018-02-15,,,,,
29,LKUN,Lake Ubsa-Nur,2018-02-16,2018-02-27,,,,,
30,LKUN,Lake Ubsa-Nur,2018-02-28,2018-03-15,,,,,
31,LKUN,Lake Ubsa-Nur,2018-03-16,2018-03-31,,,,,
32,LKUN,Lake Ubsa-Nur,2018-04-01,2018-04-15,,,,,
33,LKUN,Lake Ubsa-Nur,2018-04-16,2018-04-30,,,,,
34,LKUN,Lake Ubsa-Nur,2018-05-01,2018-05-15,,,,,
35,LKUN,Lake Ubsa-Nur,2018-05-16,2018-05-31,,,,,
36,LKUN,Lake Ubsa-Nur,2018-06-01,2018-06-15,,,,,
37,LKUN,Lake Ubsa-Nur,2018-06-16,2018-06-30,,,,,
38,LKUN,Lake Ubsa-Nur,2018-07-01,2018-07-15,,,,,
39,LKUN,Lake Ubsa-Nur,2018-07-16,2018-07-30,,,,,
40,LKUN,Lake Ubsa-Nur,2018-07-31,2018-08-14,,,,,
41,LKUN,Lake Ubsa-Nur,2018-08-15,2018-08-29,,,,,
42,LKUN,Lake Ubsa-Nur,2018-08-30,2018-09-13,,,,,
43,LKUN,Lake Ubsa-Nur,2018-09-14,2018-09-28,,,,,
44,LKUN,Lake Ubsa-Nur,2018-09-29,2018-10-13,,,,,
45,LKUN,Lake Ubsa-Nur,2018-10-14,2018-10-28,,,,,
46,LKUN,Lake Ubsa-Nur,2018-10-29,2018-11-12,,,,,
47,LKUN,Lake Ubsa-Nur,2018-11-13,2018-11-27,,,,,
48,LKUN,Lake Ubsa-Nur,2018-11-28,2018-12-12,,,,,
49,LKUN,Lake Ubsa-Nur,2018-12-13,2018-12-31,,,,,
50,LKUN,Lake Ubsa-Nur,2019-01-01,2019-06-30,,,,,
51,LKUN,Lake Ubsa-Nur,2019-07-01,2019-10-31,,,,,
52,LKUN,Lake Ubsa-Nur,2019-11-01,2020-04-30,,,,,
53,LKUN,Lake Ubsa-Nur,2020-05-01,2020-09-30,,,,,
54,LKUN,Lake Ubsa-Nur,2020-10-01,2020-11-30,,,,,
55,LKUN,Lake Ubsa-Nur,2020-12-01,2020-12-31,,,,,
56,LKUN,Lake Ubsa-Nur,2021-01-01,2021-07-31,,,,,
57,LKUN,Lake Ubsa-Nur,2021-08-01,2022-01-31,,,,,
58,LKUN,Lake Ubsa-Nur,2022-02-01,2022-06-30,,,,,
59,LKUN,Lake Ubsa-Nur,2022-07-01,2022-11-30,,,,,
60,LKUN,Lake Ubsa-Nur,2022-12-01,2023-07-01,,,,,
