index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SEIN,Seine,2008-06-30,2009-06-30,,,,,0.0
1,SEIN,Seine,2009-07-01,2010-06-30,,,,,0.0
2,SEIN,Seine,2010-07-01,2011-06-30,,,,,0.0
3,SEIN,Seine,2011-07-01,2011-12-31,,,,,
4,SEIN,Seine,2012-01-01,2012-06-30,,,,,
5,SEIN,Seine,2012-07-01,2012-12-31,,,,,
6,SEIN,Seine,2013-01-01,2013-06-30,,,,,
7,SEIN,Seine,2013-07-01,2013-12-31,,,,,
8,SEIN,Seine,2014-01-01,2014-06-30,,,,,
9,SEIN,Seine,2014-07-01,2014-12-31,,,,,
10,SEIN,Seine,2015-01-01,2015-06-30,,,,,
11,SEIN,Seine,2015-07-01,2015-12-31,,,,,
12,SEIN,Seine,2016-01-01,2016-06-30,,,,,
13,SEIN,Seine,2016-07-01,2016-12-31,,,,,
14,SEIN,Seine,2017-01-01,2017-06-30,,,,,
15,SEIN,Seine,2017-07-01,2017-07-31,,,,,
16,SEIN,Seine,2017-08-01,2017-08-31,,,,,
17,SEIN,Seine,2017-09-01,2017-09-30,,,,,
18,SEIN,Seine,2017-10-01,2017-10-31,,,,,
19,SEIN,Seine,2017-11-01,2017-11-30,,,,,
20,SEIN,Seine,2017-12-01,2017-12-31,,,,,
21,SEIN,Seine,2018-01-01,2018-01-31,,,,,
22,SEIN,Seine,2018-02-01,2018-02-28,,,,,
23,SEIN,Seine,2018-03-01,2018-03-31,,,,,
24,SEIN,Seine,2018-04-01,2018-04-30,,,,,
25,SEIN,Seine,2018-05-01,2018-05-31,,,,,
26,SEIN,Seine,2018-06-01,2018-06-30,,,,,
27,SEIN,Seine,2018-07-01,2018-07-31,,,,,
28,SEIN,Seine,2018-08-01,2018-08-31,,,,,
29,SEIN,Seine,2018-09-01,2018-09-30,,,,,
30,SEIN,Seine,2018-10-01,2018-10-31,,,,,
31,SEIN,Seine,2018-11-01,2018-11-30,,,,,
32,SEIN,Seine,2018-12-01,2018-12-31,,,,,
33,SEIN,Seine,2019-01-01,2019-03-31,,,,,
34,SEIN,Seine,2019-04-01,2019-06-30,,,,,
35,SEIN,Seine,2019-07-01,2019-09-30,,,,,
36,SEIN,Seine,2019-10-01,2019-12-31,,,,,
37,SEIN,Seine,2020-01-01,2020-03-31,,,,,
38,SEIN,Seine,2020-04-01,2020-06-30,,,,,
39,SEIN,Seine,2020-07-01,2020-09-30,,,,,
40,SEIN,Seine,2020-10-01,2020-12-31,,,,,
41,SEIN,Seine,2021-01-01,2021-03-31,,,,,
42,SEIN,Seine,2021-04-01,2021-06-30,,,,,
43,SEIN,Seine,2021-07-01,2021-09-30,,,,,
44,SEIN,Seine,2021-10-01,2021-12-31,,,,,
45,SEIN,Seine,2022-01-01,2022-03-31,,,,,
46,SEIN,Seine,2022-04-01,2022-06-30,,,,,
47,SEIN,Seine,2022-07-01,2022-09-30,,,,,
48,SEIN,Seine,2022-10-01,2022-12-31,,,,,
49,SEIN,Seine,2023-01-01,2023-03-31,,,,,
50,SEIN,Seine,2023-04-01,2023-06-30,,,,,
51,SEIN,Seine,2023-07-01,2023-09-30,,,,,
52,SEIN,Seine,2023-10-01,2023-12-31,,,,,
53,SEIN,Seine,2024-01-01,2024-03-15,,,,,
