index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,TIGR,Tigris-Euphrates/Shatt al Arab,6/30/08,6/30/09,,208,,index_0__basin_code_tigr__min_1_max_208__06_30_2008_07_01_2009,1
1,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/09,6/30/10,,170,,index_1__basin_code_tigr__min_1_max_170__06_30_2009_07_01_2010,1
2,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/10,6/30/11,,66,,index_2__basin_code_tigr__min_1_max_66__06_30_2010_07_01_2011,1
3,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/11,6/30/12,,108,,index_3__basin_code_tigr__min_1_max_108__06_30_2011_07_01_2012,1
4,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/12,6/30/13,,203,,index_4__basin_code_tigr__min_1_max_203__06_30_2012_07_01_2013,1
5,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/13,6/30/14,,289,,index_5__basin_code_tigr__min_1_max_289__06_30_2013_06_30_2014,1
6,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/14,6/30/15,,774,,index_6__basin_code_tigr__min_1_max_774__07_01_2014_05_31_2015,1
7,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/15,6/30/16,,755,,index_7__basin_code_tigr__min_1_max_755__06_01_2015_06_30_2016,1
8,TIGR,Tigris-Euphrates/Shatt al Arab,7/1/16,12/31/16,,634,,index_8__basin_code_tigr__min_1_max_634__07_01_2016_12_31_2016,1
9,TIGR,Tigris-Euphrates/Shatt al Arab,1/1/17,4/30/17,,822,,index_9__basin_code_tigr__min_1_max_822__01_01_2017_04_30_2017,1
10,TIGR,Tigris-Euphrates/Shatt al Arab,5/1/17,9/30/17,,789,,index_10__basin_code_tigr__min_1_max_789__05_01_2017_09_30_2017,1
11,TIGR,Tigris-Euphrates/Shatt al Arab,10/1/17,4/30/18,,622,,index_11__basin_code_tigr__min_1_max_622__10_01_2017_04_30_2018,1
12,TIGR,Tigris-Euphrates/Shatt al Arab,5/1/18,11/30/18,,506,,index_12__basin_code_tigr__min_1_max_506__05_01_2018_11_30_2018,1
13,TIGR,Tigris-Euphrates/Shatt al Arab,12/1/18,3/31/19,,833,,index_13__basin_code_tigr__min_1_max_833__12_01_2018_03_31_2019,1
14,TIGR,Tigris-Euphrates/Shatt al Arab,4/1/19,12/31/19,,594,,index_14__basin_code_tigr__min_1_max_594__04_01_2019_12_31_2019,1
15,TIGR,Tigris-Euphrates/Shatt al Arab,1/1/20,12/31/21,,528,,index_15__basin_code_tigr__min_1_max_528__01_01_2020_12_31_2021,1
16,TIGR,Tigris-Euphrates/Shatt al Arab,1/1/22,11/30/23,,602,,index_16__basin_code_tigr__min_1_max_602__01_01_2022_11_30_2023,1
17,TIGR,Tigris-Euphrates/Shatt al Arab,12/1/23,3/15/24,,111,,index_17__basin_code_tigr__min_1_max_111__12_01_2023_03_15_2024,1
