index,BCODE,basin,key,set_date,over_one_thousand,start_date,end_date,start_count,stop_count,total_count,file_name,finished
0,TIGR,Tigris-Euphrates/Shatt al Arab,1,1,,6/30/08,6/30/09,1,500,224,FullText_tigr_index0,1
1,TIGR,Tigris-Euphrates/Shatt al Arab,1,0,,6/30/08,6/30/09,501,1000,0,,1
2,TIGR,Tigris-Euphrates/Shatt al Arab,2,1,,7/1/09,6/30/10,1,500,187,FullText_tigr_index2,1
3,TIGR,Tigris-Euphrates/Shatt al Arab,2,0,,7/1/09,6/30/10,501,1000,0,,1
4,TIGR,Tigris-Euphrates/Shatt al Arab,3,1,,7/1/10,6/30/11,1,500,102,FullText_tigr_index4,1
5,TIGR,Tigris-Euphrates/Shatt al Arab,3,0,,7/1/10,6/30/11,501,1000,0,,1
6,TIGR,Tigris-Euphrates/Shatt al Arab,4,1,,7/1/11,6/30/12,1,500,134,FullText_tigr_index6,1
7,TIGR,Tigris-Euphrates/Shatt al Arab,4,0,,7/1/11,6/30/12,501,1000,0,,1
8,TIGR,Tigris-Euphrates/Shatt al Arab,5,1,,7/1/12,6/30/13,1,500,273,FullText_tigr_index8,1
9,TIGR,Tigris-Euphrates/Shatt al Arab,5,0,,7/1/12,6/30/13,501,1000,0,,1
10,TIGR,Tigris-Euphrates/Shatt al Arab,6,1,,7/1/13,6/30/14,1,500,370,FullText_tigr_index10,1
11,TIGR,Tigris-Euphrates/Shatt al Arab,6,0,,7/1/13,6/30/14,501,1000,0,,1
12,TIGR,Tigris-Euphrates/Shatt al Arab,7,1,,7/1/14,6/30/15,1,500,,,
13,TIGR,Tigris-Euphrates/Shatt al Arab,7,0,,7/1/14,6/30/15,501,1000,,,
14,TIGR,Tigris-Euphrates/Shatt al Arab,8,1,,7/1/15,6/30/16,1,500,,,
15,TIGR,Tigris-Euphrates/Shatt al Arab,8,0,,7/1/15,6/30/16,501,1000,,,
16,TIGR,Tigris-Euphrates/Shatt al Arab,9,1,,7/1/16,12/31/16,1,500,,,
17,TIGR,Tigris-Euphrates/Shatt al Arab,9,0,,7/1/16,12/31/16,501,1000,,,
18,TIGR,Tigris-Euphrates/Shatt al Arab,10,1,,1/1/17,4/30/17,1,500,,,
19,TIGR,Tigris-Euphrates/Shatt al Arab,10,0,,1/1/17,4/30/17,501,1000,,,
20,TIGR,Tigris-Euphrates/Shatt al Arab,11,1,,5/1/17,9/30/17,1,500,,,
21,TIGR,Tigris-Euphrates/Shatt al Arab,11,0,,5/1/17,9/30/17,501,1000,,,
22,TIGR,Tigris-Euphrates/Shatt al Arab,12,1,,10/1/17,4/30/18,1,500,,,
23,TIGR,Tigris-Euphrates/Shatt al Arab,12,0,,10/1/17,4/30/18,501,1000,,,
24,TIGR,Tigris-Euphrates/Shatt al Arab,13,1,,5/1/18,11/30/18,1,500,,,
25,TIGR,Tigris-Euphrates/Shatt al Arab,13,0,,5/1/18,11/30/18,501,1000,,,
26,TIGR,Tigris-Euphrates/Shatt al Arab,14,1,,12/1/18,3/31/19,1,500,,,
27,TIGR,Tigris-Euphrates/Shatt al Arab,14,0,,12/1/18,3/31/19,501,1000,,,
28,TIGR,Tigris-Euphrates/Shatt al Arab,15,1,,4/1/19,12/31/19,1,500,,,
29,TIGR,Tigris-Euphrates/Shatt al Arab,15,0,,4/1/19,12/31/19,501,1000,,,
30,TIGR,Tigris-Euphrates/Shatt al Arab,16,1,,1/1/20,12/31/21,1,500,,,
31,TIGR,Tigris-Euphrates/Shatt al Arab,16,0,,1/1/20,12/31/21,501,1000,,,
32,TIGR,Tigris-Euphrates/Shatt al Arab,17,1,,1/1/22,11/30/23,1,500,,,
33,TIGR,Tigris-Euphrates/Shatt al Arab,17,0,,1/1/22,11/30/23,501,1000,,,
34,TIGR,Tigris-Euphrates/Shatt al Arab,18,1,,12/1/23,3/15/24,1,500,166,FullText_tigr_index34,1
35,TIGR,Tigris-Euphrates/Shatt al Arab,18,0,,12/1/23,3/15/24,501,1000,0,,1
