basin_count,search_type,search_terms,basin_code,basin_name,ra_name,search_completed,preliminary_search,notes
G. Basin specific searches,Narrow by > Search within results (AND),"The above rows are the terms used for every search. The following rows are the 314 individual searches that need to be run. We found in manual searching the search within results yielded better results than having the basin specific searches within the primary search function. In addition, we found that the Group Duplicate function was also helpful in reducing the number of results.",BCODE,Basin_Name,RA Name,Has search been completed and all files downloaded? (Y/N/Issues),Has preliminary review been completed? (Y/N/Issues),"Search Notes, Identify any issues"
1,Narrow by > Search within results (AND),Adige,ADIG,Adige,Raunaq (only need to do the preliminary review for meeting criteria),N,N,
2,Narrow by > Search within results (AND),Akpa,AKPA,Akpa,Raunaq,Y,N,
3,Narrow by > Search within results (AND),Alakol,ALKL,Alakol,Raunaq,Y,N,
4,Narrow by > Search within results (AND),Alsek OR Bates Lake,ALSK,Alsek,Raunaq,Y,N,
5,Narrow by > Search within results (AND),Amacuro,AMCR,Amacuro,Raunaq,Y,N,
6,Narrow by > Search within results (AND),Amur OR Emur OR Huma OR Muling OR Naoli OR Songhua OR Amagun OR Argun OR Bikin OR Bureya OR CAPS(Dep) OR Gazimur OR Gilyuy OR Ingoda OR Kur OR Onon OR Oz. Chukchagirskoye OR Oz. Khanka OR Oz. Udyl' OR Shilka OR CAPS(Tok) OR Urmi OR Ussuri OR Zeya,AMUR,Amur,Raunaq,N,N,
7,Narrow by > Search within results (AND),Amazon OR Apere OR Baures OR Beni OR Guapore OR Guapore Itenex OR Lago de San Luis OR Lago Rogaua OR Madidi OR CAPS(Paragua) OR Rapulo OR San Martin OR San Miguel OR CAPS(Secure) OR Yata OR Abacaxis OR Abuna OR Acalau OR Acarai OR CAPS(Agua) Pceta OR Ajuana OR Alalau OR Anama OR Anaua OR Andma OR Apiaca OR Apiau OR Apidia OR Araca OR Araua OR Arinos OR Aripuana OR Arracias OR Arrairas OR Bacaja OR Bau OR Bia OR Brea OR Buriti OR Cach.Do Tareraimbu OR Cachoeir da Bateria OR Cachoeira Caracarai OR Cachoeira das Sete Quadas OR Cachoeira de Rebojo OR Cachoeira do Desatre OR Cachoeira do Pimena OR Cachoeira dos Indios OR Cachoeira Grande OR Cachoeira Ipada OR Cachoeira Ipanore OR Cachoeira Maranhao Grande OR Cachoeira Mergulhao OR Caluene OR Camanaa OR Camarure OR Canuma OR Capucapu OR Carabinuni OR Carajari OR Catete OR Catrimani OR Cauaburi OR Caures OR Cautario OR Chiche OR Coari OR Cotingo OR Crarari OR Crepori OR Cuiaba OR Cuiani OR Culiseu OR Cura do Sal OR Curicariari OR Curiuau OR Curu OR Curua OR Curua Una OR Curuaes OR Curuca OR Daraa OR Demini OR Demiti OR Do Paulo OR Embari OR Embira OR Fagundes OR CAPS(Ferro) OR CAPS(Fresco) OR Gregorio OR CAPS(Ia) OR CAPS(Ica) OR Igara Parana OR Imabu OR Infari OR Ipixuna OR Iriri OR Iriri Novo OR Itacuai OR Itari OR Itata OR Itaxi OR Itiguira OR Jaa OR Jamanxim OR Jamari OR Jandiatuba OR Japura OR Jaraucu OR Jari OR Jaru OR Jatapa OR Jatoba OR Jau OR Jauaperi OR Jiparana OR Jotoba OR Juina OR Jurua OR Juruena OR Jutai OR Uberaba OR de Sapucua OR do Erepeca OR Gaibo OR Grande de Manacapuru OR Mandiore OR Lago Canacari OR Liberdade OR Madeira OR Madeirinha OR Maicara OR Majari OR Mamore OR Manicana Micu OR Manso OR Mapuera OR Marapi OR Marauia OR Marie OR Maues OR Moaco OR Mucajai OR Mucucuau OR Nhamunda OR Nivo OR Padauiri OR Papagaio OR CAPS(Para) OR Paranarta OR Pareis OR Paru de Oeste OR Pauini OR CAPS(Paz) OR Peixes OR Peixoto de Azevedo OR Pinhua OR Piratucu OR Preto OR CAPS(Puras) OR Purue OR Purus OR Riozinho OR Ronuro OR Rpresa da Balbina OR Sacuriuina OR Salao OR Sangue OR Sao Benedito OR Sao Lourenco OR Sao Tume OR Sauenina OR Saueruina OR Solimooes OR Soterio OR Steinen OR Sucanduri OR Suir Micu OR Suluene OR Suramu OR Surumu OR Tamitatoula OR Batovi OR Tanguro OR Tapajos OR Tapaua OR Tapera OR Taruaca OR Tauini OR CAPS(Tea) OR Tefe OR Teles Pires OR Sao Manuel OR Theodore Roosevelt OR Tocantins OR CAPS(Triunfo) OR Uatuma OR Uneiaxi OR Unini OR Uraca OR Uraricoera OR Uruba OR Urubaxi OR CAPS(Verde) OR Vveni OR Xeriuini OR Xie OR Xingu OR Xirua OR Yavare OR Ajaju OR Apaporis OR Caqueta OR Cuduyari OR Icana OR Isasna OR Papuri OR Quainia OR Raudal Yupurari OR Devil's Cataract OR Tiquie OR Traira OR Uaupes OR Yari OR Curaray OR Morona OR Cafuini OR Ireng OR Tacutu OR CAPS(Acre) OR Allto Purus OR Apurimac OR CAPS(Blanco) OR Chandless OR CAPS(Chili) OR Correntes OR Heath OR Huallaga OR Iaco OR Inambari OR Inuya OR Jarua OR Manu Madre de Dios OR Manuripi OR Maranon OR Moranon OR Napo OR Orton OR Pachitea OR Pampas OR Postaza OR Putumayo OR San Juan OR Santa Ana OR Santa Eulalia OR Santuario OR Sheshea OR Tamuya OR Tapiche OR CAPS(Tigre) OR Ucayali OR Urabamba OR Yavari OR Trombetas OR Biria OR Casiquiare OR Concorochite OR CAPS(Grande) OR CAPS(Negro),AMZN,Amazon,Raunaq,N,N,
8,Narrow by > Search within results (AND),An Nahr Al Kabir OR Nahr Ibrahim,ANAK,An Nahr Al Kabir,Raunaq,Y,N,
9,Narrow by > Search within results (AND),Angerman,ANGE,Angerman,Raunaq,Y,N,
10,Narrow by > Search within results (AND),Annole,ANNL,Annole,Rachel,N,N,No Results
11,Narrow by > Search within results (AND),Aral OR Syr Daria OR Naryn OR Amu Daria OR Syr Darya OR Amu Darya OR Akhangaran OR Chirchik,ARAL,Aral Sea,Raunaq,N,N,
12,Narrow by > Search within results (AND),Asi OR Orontes OR Amik Golu,ASIX,Asi/Orontes,Raunaq,N,N,
13,Narrow by > Search within results (AND),Artibonite OR Depeligre,ATBN,Artibonite,Raunaq,Y,N,
14,Narrow by > Search within results (AND),Astara Chay,ATCY,Astara Chay,Raunaq,Y,N,
15,Narrow by > Search within results (AND),Atrak OR Sumber,ATRK,Atrak,Raunaq,Y,N,
16,Narrow by > Search within results (AND),Aviles,AVLS,Aviles,Raunaq,Y,N,
17,Narrow by > Search within results (AND),Abhe Bid Hayak OR Awash OR Finochaa OR Gemeri Hayak OR Petit Akabi OR Sendafa,AWSH,Awash,Raunaq,N,N,
18,Narrow by > Search within results (AND),Aysen,AYSN,Aysen,Raunaq,Y,N,
19,Narrow by > Search within results (AND),Baker OR Cochrane,BAKR,Baker,Raunaq,N,N,
20,Narrow by > Search within results (AND),Bann OR CAPS(Black Water) OR Laugh Neagh OR CAPS(Lower Laugh) Erine,BANN,Bann,Raunaq,N,N,
21,Narrow by > Search within results (AND),Bahr at Tubat,BATU,Bahr at Tubat,Raunaq,N,N,
22,Narrow by > Search within results (AND),Bidasoa,BDSO,Bidasoa,Raunaq,Y,N,
23,Narrow by > Search within results (AND),Benito OR Ntem,BENT,Benito/Ntem,Raunaq,N,N,
24,Narrow by > Search within results (AND),Bia,BIAX,Bia,Raunaq,N,N,
25,Narrow by > Search within results (AND),Beilun,BLUN,Beilun,Raunaq,Y,N,
26,Narrow by > Search within results (AND),Belize OR Mopan,BLZE,Belize,Raunaq,N,N,
27,Narrow by > Search within results (AND),Bangau,BNGU,Bangau,Raunaq,Y,N,
28,Narrow by > Search within results (AND),Oued Bou Namoussa,BNSA,Oued Bou Namoussa,Raunaq,Y,N,
29,Narrow by > Search within results (AND),Berbyelva,BRBY,Berbyelva,Raunaq,Y,N,No results
30,Narrow by > Search within results (AND),Baraka,BRKA,Baraka,Raunaq,Y,N,
31,Narrow by > Search within results (AND),Barima,BRMA,Barima,Raunaq,Y,N,
32,Narrow by > Search within results (AND),Barta,BRTA,Barta,Raunaq,Y,N,
33,Narrow by > Search within results (AND),Buzi OR Rio Revue OR Chibudzana OR Nyanhombo OR CAPS(Rio) OR Sterkstroom,BUZI,Buzi,Raunaq,N,N,
34,Narrow by > Search within results (AND),Caetani,CAET,Caetani,Raunaq,Y,N,
35,Narrow by > Search within results (AND),Ca OR Song Lam,CAXX,Ca/Song Lam,Raunaq,N,N,
36,Narrow by > Search within results (AND),Candelaria,CDLR,Candelaria,Raunaq,Y,N,
37,Narrow by > Search within results (AND),Changuinola,CGNL,Changuinola,Raunaq,Y,N,
38,Narrow by > Search within results (AND),Carmen Silva OR Chico,CHIC,Carmen Silva/Chico,Raunaq,Y,N,
39,Narrow by > Search within results (AND),Chira,CHIR,Chira,Raunaq,Y,N,
40,Narrow by > Search within results (AND),Choluteca,CHLT,Choluteca,Raunaq,Y,N,
