index,basin,start_date,end_date,start_count,stop_count,total_count,finished
1,amur,01/01/2008,12/31/2019,1,100,805.0,1
2,amur,01/01/2008,12/31/2019,101,200,805.0,1
3,amur,01/01/2008,12/31/2019,201,300,805.0,1
4,amur,01/01/2008,12/31/2019,301,400,805.0,1
5,amur,01/01/2008,12/31/2019,401,500,805.0,1
6,amur,01/01/2008,12/31/2019,501,600,805.0,1
7,amur,01/01/2008,12/31/2019,601,700,805.0,1
8,amur,01/01/2008,12/31/2019,701,800,805.0,1
9,amur,01/01/2008,12/31/2019,801,900,,1
10,amur,01/01/2008,12/31/2019,901,1000,,1
11,amur,01/01/2019,12/31/2022,1,100,805.0,1
12,amur,01/01/2019,12/31/2022,101,200,805.0,1
13,amur,01/01/2019,12/31/2022,201,300,805.0,1
14,amur,01/01/2019,12/31/2022,301,400,805.0,1
15,amur,01/01/2019,12/31/2022,401,500,805.0,1
16,amur,01/01/2019,12/31/2022,501,600,,0
17,amur,01/01/2019,12/31/2022,601,700,,0
18,amur,01/01/2019,12/31/2022,701,800,,0
19,amur,01/01/2019,12/31/2022,801,900,,0
20,amur,01/01/2019,12/31/2022,901,1000,,0
