index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
1,BAKR,Baker,2008-06-30,2010-04-30,,,,,
2,BAKR,Baker,2010-05-01,2011-09-30,,,,,
3,BAKR,Baker,2011-10-01,2012-08-31,,,,,
4,BAKR,Baker,2012-09-01,2012-12-31,,,,,
5,BAKR,Baker,2013-01-01,2013-03-14,,,,,
6,BAKR,Baker,2013-03-15,2013-06-30,,,,,
7,BAKR,Baker,2013-07-01,2013-09-30,,,,,
8,BAKR,Baker,2013-10-01,2013-11-30,,,,,
9,BAKR,Baker,2013-12-01,2014-01-31,,,,,
10,BAKR,Baker,2014-02-01,2014-05-31,,,,,
11,BAKR,Baker,2014-06-01,2014-08-31,,,,,
12,BAKR,Baker,2014-09-01,2014-11-30,,,,,
13,BAKR,Baker,2014-12-01,2015-03-31,,,,,
14,BAKR,Baker,2015-04-01,2015-06-30,,,,,
15,BAKR,Baker,2015-07-01,2015-10-31,,,,,
16,BAKR,Baker,2015-11-01,2016-01-31,,,,,
17,BAKR,Baker,2016-02-01,2016-06-30,,,,,
18,BAKR,Baker,2016-07-01,2016-09-13,,,,,
19,BAKR,Baker,2016-09-14,2016-10-31,,,,,
20,BAKR,Baker,2016-11-01,2017-01-07,,,,,
21,BAKR,Baker,2017-01-08,2017-01-08,,,1.0,,
22,BAKR,Baker,2017-01-09,2017-03-31,,,,,
23,BAKR,Baker,2017-04-01,2017-07-31,,,,,
24,BAKR,Baker,2017-08-01,2017-10-31,,,,,
25,BAKR,Baker,2017-11-01,2018-03-31,,,,,
26,BAKR,Baker,2018-04-01,2018-07-31,,,,,
27,BAKR,Baker,2018-08-01,2018-10-31,,,,,
28,BAKR,Baker,2018-11-01,2019-01-31,,,,,
29,BAKR,Baker,2019-02-01,2019-05-31,,,,,
30,BAKR,Baker,2019-06-01,2019-09-30,,,,,
31,BAKR,Baker,2019-10-01,2020-01-31,,,,,
32,BAKR,Baker,2020-02-01,2020-06-30,,,,,
33,BAKR,Baker,2020-07-01,2020-09-30,,,,,
34,BAKR,Baker,2020-10-01,2020-12-31,,,,,
35,BAKR,Baker,2021-01-01,2021-08-31,,,,,
36,BAKR,Baker,2021-09-01,2022-04-30,,,,,
37,BAKR,Baker,2022-05-01,2022-12-31,,,,,
38,BAKR,Baker,2023-01-01,2023-06-30,,,,,
39,BAKR,Baker,2023-07-01,2023-12-31,,,,,
40,BAKR,Baker,2024-01-01,2024-03-15,,,,,
