index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,BUZI,Buzi,2008-06-30,2009-08-31,,,,,
1,BUZI,Buzi,2009-09-01,2010-12-31,,,,,
2,BUZI,Buzi,2011-01-01,2011-12-31,,,,,
3,BUZI,Buzi,2012-01-01,2012-08-31,,,,,
4,BUZI,Buzi,2012-09-01,2013-04-30,,,,,
5,BUZI,Buzi,2013-05-01,2013-10-31,,,,,
6,BUZI,Buzi,2013-11-01,2014-06-30,,,,,
7,BUZI,Buzi,2014-07-01,2015-03-31,,,,,
8,BUZI,Buzi,2015-04-01,2015-09-30,,,,,
9,BUZI,Buzi,2015-10-01,2016-02-29,,,,,
10,BUZI,Buzi,2016-03-01,2016-05-31,,,,,
11,BUZI,Buzi,2016-06-01,2016-06-30,,,,,
12,BUZI,Buzi,2016-07-01,2016-07-31,,,,,
13,BUZI,Buzi,2016-08-01,2016-08-07,,,,,
14,BUZI,Buzi,2016-08-08,2016-08-15,,,,,
15,BUZI,Buzi,2016-08-16,2016-08-31,,,,,
16,BUZI,Buzi,2016-09-01,2016-10-31,,,,,
17,BUZI,Buzi,2016-11-01,2017-03-31,,,,,
18,BUZI,Buzi,2017-04-01,2017-08-31,,,,,
19,BUZI,Buzi,2017-09-01,2017-11-30,,,,,
20,BUZI,Buzi,2017-12-01,2018-03-15,,,,,
21,BUZI,Buzi,2018-03-16,2018-05-31,,,,,
22,BUZI,Buzi,2018-06-01,2018-08-31,,,,,
23,BUZI,Buzi,2018-09-01,2018-11-30,,,,,
24,BUZI,Buzi,2018-12-01,2019-03-31,,,,,
25,BUZI,Buzi,2019-04-01,2019-07-31,,,,,
26,BUZI,Buzi,2019-08-01,2019-11-30,,,,,
27,BUZI,Buzi,2019-12-01,2020-05-31,,,,,
28,BUZI,Buzi,2020-06-01,2020-10-31,,,,,
29,BUZI,Buzi,2020-11-01,2021-03-31,,,,,
30,BUZI,Buzi,2021-04-01,2021-07-31,,,,,
31,BUZI,Buzi,2021-08-01,2021-11-30,,,,,
32,BUZI,Buzi,2021-12-01,2022-04-30,,,,,
33,BUZI,Buzi,2022-05-01,2022-09-30,,,,,
34,BUZI,Buzi,2022-10-01,2023-03-01,,,,,
35,BUZI,Buzi,2023-03-02,2023-06-30,,,,,
36,BUZI,Buzi,2023-07-01,2023-09-30,,,,,
37,BUZI,Buzi,2023-10-01,2023-12-31,,,,,
38,BUZI,Buzi,2024-01-01,2024-03-15,,,,,
