index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
1,CAXX,Ca/Song Lam,2008-06-30,2009-06-30,,,,,
2,CAXX,Ca/Song Lam,2009-07-01,2010-03-31,,,,,
3,CAXX,Ca/Song Lam,2010-04-01,2010-11-30,,,,,
4,CAXX,Ca/Song Lam,2010-12-01,2011-05-31,,,,,
5,CAXX,Ca/Song Lam,2011-06-01,2011-12-31,,,,,
6,CAXX,Ca/Song Lam,2012-01-01,2012-06-30,,,,,
7,CAXX,Ca/Song Lam,2012-07-01,2012-12-31,,,,,
8,CAXX,Ca/Song Lam,2013-01-01,2013-05-31,,,,,
9,CAXX,Ca/Song Lam,2013-06-01,2013-09-30,,,,,
10,CAXX,Ca/Song Lam,2013-10-01,2014-01-31,,,,,
11,CAXX,Ca/Song Lam,2014-02-01,2014-05-31,,,,,
12,CAXX,Ca/Song Lam,2014-06-01,2014-08-31,,,,,
13,CAXX,Ca/Song Lam,2014-09-01,2014-12-31,,,,,
14,CAXX,Ca/Song Lam,2015-01-01,2015-03-31,,,,,
15,CAXX,Ca/Song Lam,2015-04-01,2015-06-30,,,,,
16,CAXX,Ca/Song Lam,2015-07-01,2015-09-30,,,,,
17,CAXX,Ca/Song Lam,2015-10-01,2015-11-30,,,,,
18,CAXX,Ca/Song Lam,2015-12-01,2016-01-31,,,,,
19,CAXX,Ca/Song Lam,2016-02-01,2016-03-15,,,,,
20,CAXX,Ca/Song Lam,2016-03-16,2016-04-30,,,,,
21,CAXX,Ca/Song Lam,2016-05-01,2016-06-30,,,,,
22,CAXX,Ca/Song Lam,2016-07-01,2016-07-31,,,,,
23,CAXX,Ca/Song Lam,2016-08-01,2016-08-31,,,,,
24,CAXX,Ca/Song Lam,2016-09-01,2016-09-30,,,,,
25,CAXX,Ca/Song Lam,2016-10-01,2016-10-31,,,,,
26,CAXX,Ca/Song Lam,2016-11-01,2016-11-30,,,,,
27,CAXX,Ca/Song Lam,2016-12-01,2016-12-31,,,,,
28,CAXX,Ca/Song Lam,2017-01-01,2017-01-31,,,,,
29,CAXX,Ca/Song Lam,2017-02-01,2017-03-10,,,,,
30,CAXX,Ca/Song Lam,2017-03-11,2017-04-30,,,,,
31,CAXX,Ca/Song Lam,2017-05-01,2017-06-30,,,,,
32,CAXX,Ca/Song Lam,2017-07-01,2017-08-31,,,,,
33,CAXX,Ca/Song Lam,2017-09-01,2017-10-31,,,,,
34,CAXX,Ca/Song Lam,2017-11-01,2017-12-31,,,,,
35,CAXX,Ca/Song Lam,2018-01-01,2018-02-15,,,,,
36,CAXX,Ca/Song Lam,2018-02-16,2018-03-31,,,,,
37,CAXX,Ca/Song Lam,2018-04-01,2018-04-30,,,,,
38,CAXX,Ca/Song Lam,2018-05-01,2018-05-31,,,,,
39,CAXX,Ca/Song Lam,2018-06-01,2018-06-30,,,,,
40,CAXX,Ca/Song Lam,2018-07-01,2018-07-31,,,,,
41,CAXX,Ca/Song Lam,2018-08-01,2018-08-15,,,,,
42,CAXX,Ca/Song Lam,2018-08-16,2018-08-31,,,,,
43,CAXX,Ca/Song Lam,2018-09-01,2018-09-15,,,,,
44,CAXX,Ca/Song Lam,2018-09-16,2018-09-30,,,,,
45,CAXX,Ca/Song Lam,2018-10-01,2018-10-15,,,,,
46,CAXX,Ca/Song Lam,2018-10-16,2018-10-31,,,,,
47,CAXX,Ca/Song Lam,2018-11-01,2018-11-30,,,,,
48,CAXX,Ca/Song Lam,2018-12-01,2018-12-31,,,,,
49,CAXX,Ca/Song Lam,2019-01-01,2018-01-31,,,,,
50,CAXX,Ca/Song Lam,2019-02-01,2019-02-28,,,,,
51,CAXX,Ca/Song Lam,2019-03-01,2019-03-25,,,,,
52,CAXX,Ca/Song Lam,2019-03-26,2019-04-10,,,,,
53,CAXX,Ca/Song Lam,2019-04-11,2019-04-30,,,,,
54,CAXX,Ca/Song Lam,2019-05-01,2019-05-20,,,,,
55,CAXX,Ca/Song Lam,2019-05-21,2019-06-20,,,,,
56,CAXX,Ca/Song Lam,2019-06-21,2019-07-31,,,,,
57,CAXX,Ca/Song Lam,2019-08-01,2019-09-30,,,,,
58,CAXX,Ca/Song Lam,2019-10-01,2019-12-31,,,,,
59,CAXX,Ca/Song Lam,2020-01-01,2020-03-01,,,,,
60,CAXX,Ca/Song Lam,2020-03-02,2020-05-31,,,,,
61,CAXX,Ca/Song Lam,2020-06-01,2020-07-31,,,,,
62,CAXX,Ca/Song Lam,2020-08-01,2020-10-31,,,,,
63,CAXX,Ca/Song Lam,2020-11-01,2021-01-31,,,,,
64,CAXX,Ca/Song Lam,2021-02-01,2021-04-30,,,,,
65,CAXX,Ca/Song Lam,2021-05-01,2021-07-31,,,,,
66,CAXX,Ca/Song Lam,2021-08-01,2021-10-31,,,,,
67,CAXX,Ca/Song Lam,2021-11-01,2022-01-31,,,,,
68,CAXX,Ca/Song Lam,2022-02-01,2022-04-30,,,,,
69,CAXX,Ca/Song Lam,2022-05-01,2022-07-31,,,,,
70,CAXX,Ca/Song Lam,2022-08-01,2022-10-31,,,,,
71,CAXX,Ca/Song Lam,2022-11-01,2023-01-31,,,,,
72,CAXX,Ca/Song Lam,2023-02-01,2023-04-30,,,,,
73,CAXX,Ca/Song Lam,2023-05-01,2023-06-30,,,,,
74,CAXX,Ca/Song Lam,2023-07-01,2023-09-30,,,,,
75,CAXX,Ca/Song Lam,2023-10-01,2023-12-31,,,,,
76,CAXX,Ca/Song Lam,2024-01-01,2024-03-15,,,,,
