index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,CNCT,Connecticut,2008-06-30,2010-03-31,,,,,
1,CNCT,Connecticut,2010-04-01,2011-12-31,,,,,
2,CNCT,Connecticut,2012-01-01,2012-12-31,,,,,
3,CNCT,Connecticut,2013-01-01,2013-12-31,,,,,
4,CNCT,Connecticut,2014-01-01,2014-12-31,,,,,
5,CNCT,Connecticut,2015-01-01,2015-12-31,,,,,
6,CNCT,Connecticut,2016-01-01,2016-12-31,,,,,
7,CNCT,Connecticut,2017-01-01,2017-08-31,,,,,
8,CNCT,Connecticut,2017-09-01,2018-03-31,,,,,
9,CNCT,Connecticut,2018-04-01,2018-10-31,,,,,
10,CNCT,Connecticut,2018-11-01,2018-05-31,,,,,
11,CNCT,Connecticut,2018-06-01,2018-12-31,,,,,
12,CNCT,Connecticut,2019-01-01,2019-07-31,,,,,
13,CNCT,Connecticut,2019-08-01,2019-01-31,,,,,
14,CNCT,Connecticut,2019-07-31,2019-12-31,,,,,
15,CNCT,Connecticut,2020-01-01,2020-12-31,,,,,
16,CNCT,Connecticut,2021-01-01,2021-12-31,,,,,
17,CNCT,Connecticut,2022-01-01,2022-12-31,,,,,
18,CNCT,Connecticut,2023-01-01,2023-07-01,,,,,
19,CNCT,Connecticut,2023-07-02,2023-12-31,,,,,
20,CNCT,Connecticut,2024-01-01,2024-03-15,,,,,
