index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,CROS,Cross,6/30/08,12/31/08,,697,,Results list for_hlead(_water_ OR river_ OR lake OR dam OR stream OR tributary OR diversion OR irrig,1
1,CROS,Cross,1/1/09,6/30/09,,698,,ResultsList_cros_202207_result_min_1_result_max_698_start_date_01/01/2009_end_date_06/30/2009,1
2,CROS,Cross,7/1/09,12/31/09,,763,,ResultsList_cros_202207_result_min_1_result_max_763_start_date_07/01/2009_end_date_12/31/2009,1
3,CROS,Cross,1/1/10,6/30/10,,789,,ResultsList_cros_202207_result_min_1_result_max_789_start_date_01/01/2010_end_date_06/30/2010,1
4,CROS,Cross,7/1/10,12/31/10,,936,,ResultsList_cros_202207_result_min_1_result_max_936_start_date_07/01/2010_end_date_12/31/2010,1
5,CROS,Cross,1/1/11,3/31/11,,494,,ResultsList_cros_202207_result_min_1_result_max_494_start_date_01/01/2011_end_date_03/31/2011,1
6,CROS,Cross,4/1/11,6/30/11,,457,,ResultsList_cros_202207_result_min_1_result_max_457_start_date_04/01/2011_end_date_06/30/2011,1
7,CROS,Cross,7/1/11,9/30/11,,679,,ResultsList_cros_202207_result_min_1_result_max_679_start_date_07/01/2011_end_date_09/30/2011,1
8,CROS,Cross,10/1/11,12/31/11,,520,,ResultsList_cros_202207_result_min_1_result_max_520_start_date_10/01/2011_end_date_12/31/2011,1
9,CROS,Cross,1/1/12,3/31/12,,681,,ResultsList_cros_202207_result_min_1_result_max_681_start_date_01/01/2012_end_date_03/31/2012,1
10,CROS,Cross,4/1/12,6/30/12,,568,,ResultsList_cros_202207_result_min_1_result_max_568_start_date_04/01/2012_end_date_06/30/2012,1
11,CROS,Cross,7/1/12,9/30/12,,849,,ResultsList_cros_202207_result_min_1_result_max_849_start_date_07/01/2012_end_date_09/30/2012,1
12,CROS,Cross,10/1/12,12/31/12,,570,,ResultsList_cros_202207_result_min_1_result_max_570_start_date_10/01/2012_end_date_12/31/2012,1
13,CROS,Cross,1/1/13,3/31/13,,587,,ResultsList_cros_202207_result_min_1_result_max_587_start_date_01/01/2013_end_date_03/31/2013,1
14,CROS,Cross,4/1/13,6/30/13,,622,,ResultsList_cros_202207_result_min_1_result_max_622_start_date_04/01/2013_end_date_06/30/2013,1
