index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,DONX,Don,2008-06-30,2008-09-30,,,1.0,,0.0
1,DONX,Don,2008-10-01,2008-12-31,,,0.0,,0.0
2,DONX,Don,2009-01-01,2009-03-31,,,0.0,,0.0
3,DONX,Don,2009-04-01,2009-06-30,,,,,
4,DONX,Don,2009-07-01,2009-09-30,,,,,
5,DONX,Don,2009-10-01,2009-12-31,,,,,
6,DONX,Don,2010-01-01,2010-03-31,,,,,
7,DONX,Don,2010-04-01,2010-06-30,,,,,
8,DONX,Don,2010-07-01,2010-09-30,,,,,
9,DONX,Don,2010-10-01,2010-12-31,,,,,
10,DONX,Don,2011-01-01,2011-03-31,,,,,
11,DONX,Don,2011-04-01,2011-06-30,,,,,
12,DONX,Don,2011-07-01,2011-09-30,,,,,
13,DONX,Don,2011-10-01,2011-12-31,,,,,
14,DONX,Don,2012-01-01,2012-03-31,,,,,
15,DONX,Don,2012-04-01,2012-06-30,,,,,
16,DONX,Don,2012-07-01,2012-08-31,,,,,
17,DONX,Don,2012-09-01,2012-10-31,,,,,
18,DONX,Don,2012-11-01,2012-12-31,,,,,
19,DONX,Don,2013-01-01,2013-02-28,,,,,
20,DONX,Don,2013-03-01,2013-04-30,,,,,
21,DONX,Don,2013-05-01,2013-06-30,,,,,
22,DONX,Don,2013-07-01,2013-07-31,,,,,
23,DONX,Don,2013-08-01,2013-08-31,,,,,
24,DONX,Don,2013-09-01,2013-09-30,,,,,
25,DONX,Don,2013-10-01,2013-10-31,,,,,
26,DONX,Don,2013-11-01,2013-11-30,,,,,
27,DONX,Don,2013-12-01,2013-12-31,,,,,
28,DONX,Don,2014-01-01,2014-01-31,,,,,
29,DONX,Don,2014-02-01,2014-02-28,,,,,
30,DONX,Don,2014-03-01,2014-03-31,,,,,
31,DONX,Don,2014-04-01,2014-04-30,,,,,
32,DONX,Don,2014-05-01,2014-05-31,,,,,
33,DONX,Don,2014-06-01,2014-06-30,,,,,
34,DONX,Don,2014-07-01,2014-07-31,,,,,
35,DONX,Don,2014-08-01,2014-08-31,,,,,
36,DONX,Don,2014-09-01,2014-09-30,,,,,
37,DONX,Don,2014-10-01,2014-10-31,,,,,
38,DONX,Don,2014-11-01,2014-11-30,,,,,
39,DONX,Don,2014-12-01,2014-12-31,,,,,
40,DONX,Don,2015-01-01,2015-01-31,,,,,
41,DONX,Don,2015-02-01,2015-02-28,,,,,
42,DONX,Don,2015-03-01,2015-03-31,,,,,
43,DONX,Don,2015-04-01,2015-04-30,,,,,
44,DONX,Don,2015-05-01,2015-05-31,,,,,
45,DONX,Don,2015-06-01,2015-06-30,,,,,
46,DONX,Don,2015-07-01,2015-08-31,,,,,
47,DONX,Don,2015-09-01,2015-10-31,,,,,
48,DONX,Don,2015-11-01,2015-12-31,,,,,
49,DONX,Don,2016-01-01,2016-02-29,,,,,
50,DONX,Don,2016-03-01,2016-04-30,,,,,
51,DONX,Don,2016-05-01,2016-06-30,,,,,
52,DONX,Don,2016-07-01,2016-08-31,,,,,
53,DONX,Don,2016-09-01,2016-10-31,,,,,
54,DONX,Don,2016-11-01,2016-12-31,,,,,
55,DONX,Don,2017-01-01,2017-02-28,,,,,
56,DONX,Don,2017-03-01,2017-04-30,,,,,
57,DONX,Don,2017-05-01,2017-06-30,,,,,
58,DONX,Don,2017-07-01,2017-08-31,,,,,
59,DONX,Don,2017-09-01,2017-10-31,,,,,
60,DONX,Don,2017-11-01,2017-12-31,,,,,
61,DONX,Don,2018-01-01,2018-02-28,,,,,
62,DONX,Don,2018-03-01,2018-04-30,,,,,
63,DONX,Don,2018-05-01,2018-06-30,,,,,
64,DONX,Don,2018-07-01,2018-08-31,,,,,
65,DONX,Don,2018-09-01,2018-10-31,,,,,
66,DONX,Don,2018-11-01,2018-12-31,,,,,
67,DONX,Don,2019-01-01,2019-02-28,,,,,
68,DONX,Don,2019-03-01,2019-04-30,,,,,
69,DONX,Don,2019-05-01,2019-06-30,,,,,
70,DONX,Don,2019-07-01,2019-08-31,,,,,
71,DONX,Don,2019-09-01,2019-10-31,,,,,
72,DONX,Don,2019-11-01,2019-12-31,,,,,
73,DONX,Don,2020-01-01,2020-02-29,,,,,
74,DONX,Don,2020-03-01,2020-04-30,,,,,
75,DONX,Don,2020-05-01,2020-06-30,,,,,
76,DONX,Don,2020-07-01,2020-08-31,,,,,
77,DONX,Don,2020-09-01,2020-10-31,,,,,
78,DONX,Don,2020-11-01,2020-12-31,,,,,
79,DONX,Don,2021-01-01,2021-02-28,,,,,
80,DONX,Don,2021-03-01,2021-04-30,,,,,
81,DONX,Don,2021-05-01,2021-06-30,,,,,
82,DONX,Don,2021-07-01,2021-09-30,,,,,
83,DONX,Don,2021-10-01,2021-12-31,,,,,
84,DONX,Don,2022-01-01,2022-03-31,,,,,
85,DONX,Don,2022-04-01,2022-06-30,,,,,
86,DONX,Don,2022-07-01,2022-09-30,,,,,
87,DONX,Don,2022-10-01,2022-12-31,,,,,
88,DONX,Don,2023-01-01,2023-03-31,,,,,
89,DONX,Don,2023-04-01,2023-06-30,,,,,
90,DONX,Don,2023-07-01,2023-09-30,,,,,
91,DONX,Don,2023-10-01,2023-12-31,,,,,
92,DONX,Don,2024-01-01,2024-03-15,,,,,
