index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,GANG,Ganges-Brahmaputra-Meghna,01/01/2008,01/31/2008,,,,,
1,GANG,Ganges-Brahmaputra-Meghna,02/01/2008,02/29/2008,,,,,
2,GANG,Ganges-Brahmaputra-Meghna,03/01/2008,03/31/2008,,,,,
3,GANG,Ganges-Brahmaputra-Meghna,04/01/2008,04/30/2008,,,,,
4,GANG,Ganges-Brahmaputra-Meghna,05/01/2008,05/31/2008,,,,,
5,GANG,Ganges-Brahmaputra-Meghna,06/01/2008,06/30/2008,,,,,
6,GANG,Ganges-Brahmaputra-Meghna,07/01/2008,07/31/2008,,,,,
7,GANG,Ganges-Brahmaputra-Meghna,08/01/2008,08/31/2008,,,,,
8,GANG,Ganges-Brahmaputra-Meghna,09/01/2008,09/30/2008,,,,,
9,GANG,Ganges-Brahmaputra-Meghna,10/01/2008,10/31/2008,,,,,
10,GANG,Ganges-Brahmaputra-Meghna,11/01/2008,11/30/2008,,,,,
11,GANG,Ganges-Brahmaputra-Meghna,12/01/2008,12/31/2008,,,,,
12,GANG,Ganges-Brahmaputra-Meghna,01/01/2009,01/31/2009,,,,,
13,GANG,Ganges-Brahmaputra-Meghna,02/01/2009,02/28/2009,,,,,
14,GANG,Ganges-Brahmaputra-Meghna,03/01/2009,03/31/2009,,,,,
15,GANG,Ganges-Brahmaputra-Meghna,04/01/2009,04/30/2009,,,,,
16,GANG,Ganges-Brahmaputra-Meghna,05/01/2009,05/31/2009,,,,,
17,GANG,Ganges-Brahmaputra-Meghna,06/01/2009,06/30/2009,,,,,
18,GANG,Ganges-Brahmaputra-Meghna,07/01/2009,07/31/2009,,,,,
19,GANG,Ganges-Brahmaputra-Meghna,08/01/2009,08/31/2009,,,,,
20,GANG,Ganges-Brahmaputra-Meghna,09/01/2009,09/30/2009,,,,,
21,GANG,Ganges-Brahmaputra-Meghna,10/01/2009,10/31/2009,,,,,
22,GANG,Ganges-Brahmaputra-Meghna,11/01/2009,11/30/2009,,,,,
23,GANG,Ganges-Brahmaputra-Meghna,12/01/2009,12/31/2009,,,,,
24,GANG,Ganges-Brahmaputra-Meghna,01/01/2010,01/31/2010,,,,,
25,GANG,Ganges-Brahmaputra-Meghna,02/01/2010,02/28/2010,,,,,
26,GANG,Ganges-Brahmaputra-Meghna,03/01/2010,03/31/2010,,,,,
27,GANG,Ganges-Brahmaputra-Meghna,04/01/2010,04/30/2010,,,,,
28,GANG,Ganges-Brahmaputra-Meghna,05/01/2010,05/31/2010,,,,,
29,GANG,Ganges-Brahmaputra-Meghna,06/01/2010,06/30/2010,,,,,
30,GANG,Ganges-Brahmaputra-Meghna,07/01/2010,07/31/2010,,,,,
31,GANG,Ganges-Brahmaputra-Meghna,08/01/2010,08/31/2010,,,,,
32,GANG,Ganges-Brahmaputra-Meghna,09/01/2010,09/30/2010,,,,,
33,GANG,Ganges-Brahmaputra-Meghna,10/01/2010,10/31/2010,,,,,
34,GANG,Ganges-Brahmaputra-Meghna,11/01/2010,11/30/2010,,,,,
35,GANG,Ganges-Brahmaputra-Meghna,12/01/2010,12/31/2010,,,,,
36,GANG,Ganges-Brahmaputra-Meghna,01/01/2011,01/31/2011,,,,,
37,GANG,Ganges-Brahmaputra-Meghna,02/01/2011,02/28/2011,,,,,
38,GANG,Ganges-Brahmaputra-Meghna,03/01/2011,03/31/2011,,,,,
39,GANG,Ganges-Brahmaputra-Meghna,04/01/2011,04/30/2011,,,,,
40,GANG,Ganges-Brahmaputra-Meghna,05/01/2011,05/31/2011,,,,,
41,GANG,Ganges-Brahmaputra-Meghna,06/01/2011,06/30/2011,,,,,
42,GANG,Ganges-Brahmaputra-Meghna,07/01/2011,07/31/2011,,,,,
43,GANG,Ganges-Brahmaputra-Meghna,08/01/2011,08/31/2011,,,,,
44,GANG,Ganges-Brahmaputra-Meghna,09/01/2011,09/30/2011,,,,,
45,GANG,Ganges-Brahmaputra-Meghna,10/01/2011,10/31/2011,,,,,
46,GANG,Ganges-Brahmaputra-Meghna,11/01/2011,11/30/2011,,,,,
47,GANG,Ganges-Brahmaputra-Meghna,12/01/2011,12/31/2011,,,,,
48,GANG,Ganges-Brahmaputra-Meghna,01/01/2012,01/31/2012,,,,,
49,GANG,Ganges-Brahmaputra-Meghna,02/01/2012,02/29/2012,,,,,
50,GANG,Ganges-Brahmaputra-Meghna,03/01/2012,03/31/2012,,,,,
51,GANG,Ganges-Brahmaputra-Meghna,04/01/2012,04/30/2012,,,,,
52,GANG,Ganges-Brahmaputra-Meghna,05/01/2012,05/31/2012,,,,,
53,GANG,Ganges-Brahmaputra-Meghna,06/01/2012,06/30/2012,,,,,
54,GANG,Ganges-Brahmaputra-Meghna,07/01/2012,07/31/2012,,,,,
55,GANG,Ganges-Brahmaputra-Meghna,08/01/2012,08/31/2012,,,,,
56,GANG,Ganges-Brahmaputra-Meghna,09/01/2012,09/30/2012,,,,,
57,GANG,Ganges-Brahmaputra-Meghna,10/01/2012,10/31/2012,,,,,
58,GANG,Ganges-Brahmaputra-Meghna,11/01/2012,11/30/2012,,,,,
59,GANG,Ganges-Brahmaputra-Meghna,12/01/2012,12/31/2012,,,,,
60,GANG,Ganges-Brahmaputra-Meghna,01/01/2013,01/31/2013,,,,,
61,GANG,Ganges-Brahmaputra-Meghna,02/01/2013,02/28/2013,,,,,
62,GANG,Ganges-Brahmaputra-Meghna,03/01/2013,03/31/2013,,,,,
63,GANG,Ganges-Brahmaputra-Meghna,04/01/2013,04/30/2013,,,,,
64,GANG,Ganges-Brahmaputra-Meghna,05/01/2013,05/31/2013,,,,,
65,GANG,Ganges-Brahmaputra-Meghna,06/01/2013,06/30/2013,,,,,
66,GANG,Ganges-Brahmaputra-Meghna,07/01/2013,07/31/2013,,,,,
67,GANG,Ganges-Brahmaputra-Meghna,08/01/2013,08/31/2013,,,,,
68,GANG,Ganges-Brahmaputra-Meghna,09/01/2013,09/30/2013,,,,,
69,GANG,Ganges-Brahmaputra-Meghna,10/01/2013,10/31/2013,,,,,
70,GANG,Ganges-Brahmaputra-Meghna,11/01/2013,11/30/2013,,,,,
71,GANG,Ganges-Brahmaputra-Meghna,12/01/2013,12/31/2013,,,,,
72,GANG,Ganges-Brahmaputra-Meghna,01/01/2014,01/31/2014,,,,,
73,GANG,Ganges-Brahmaputra-Meghna,02/01/2014,02/28/2014,,,,,
74,GANG,Ganges-Brahmaputra-Meghna,03/01/2014,03/31/2014,,,,,
75,GANG,Ganges-Brahmaputra-Meghna,04/01/2014,04/30/2014,,,,,
76,GANG,Ganges-Brahmaputra-Meghna,05/01/2014,05/31/2014,,,,,
77,GANG,Ganges-Brahmaputra-Meghna,06/01/2014,06/30/2014,,,,,
78,GANG,Ganges-Brahmaputra-Meghna,07/01/2014,07/31/2014,,,,,
79,GANG,Ganges-Brahmaputra-Meghna,08/01/2014,08/31/2014,,,,,
80,GANG,Ganges-Brahmaputra-Meghna,09/01/2014,09/30/2014,,,,,
81,GANG,Ganges-Brahmaputra-Meghna,10/01/2014,10/31/2014,,,,,
82,GANG,Ganges-Brahmaputra-Meghna,11/01/2014,11/30/2014,,,,,
83,GANG,Ganges-Brahmaputra-Meghna,12/01/2014,12/31/2014,,,,,
84,GANG,Ganges-Brahmaputra-Meghna,01/01/2015,01/31/2015,,,,,
85,GANG,Ganges-Brahmaputra-Meghna,02/01/2015,02/28/2015,,,,,
86,GANG,Ganges-Brahmaputra-Meghna,03/01/2015,03/31/2015,,,,,
87,GANG,Ganges-Brahmaputra-Meghna,04/01/2015,04/30/2015,,,,,
88,GANG,Ganges-Brahmaputra-Meghna,05/01/2015,05/31/2015,,,,,
89,GANG,Ganges-Brahmaputra-Meghna,06/01/2015,06/30/2015,,,,,
90,GANG,Ganges-Brahmaputra-Meghna,07/01/2015,07/31/2015,,,,,
91,GANG,Ganges-Brahmaputra-Meghna,08/01/2015,08/31/2015,,,,,
92,GANG,Ganges-Brahmaputra-Meghna,09/01/2015,09/30/2015,,,,,
93,GANG,Ganges-Brahmaputra-Meghna,10/01/2015,10/31/2015,,,,,
94,GANG,Ganges-Brahmaputra-Meghna,11/01/2015,11/30/2015,,,,,
95,GANG,Ganges-Brahmaputra-Meghna,12/01/2015,12/31/2015,,,,,
96,GANG,Ganges-Brahmaputra-Meghna,01/01/2016,01/31/2016,,,,,
97,GANG,Ganges-Brahmaputra-Meghna,02/01/2016,02/29/2016,,,,,
