index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,GRON,Garonne,2008-06-30,2008-07-31,,,,,
1,GRON,Garonne,2008-08-01,2008-08-31,,,,,
2,GRON,Garonne,2009-09-01,2008-09-30,,,,,
3,GRON,Garonne,2009-10-01,2009-10-10,,,,,
4,GRON,Garonne,2009-10-11,2009-10-17,,,,,
5,GRON,Garonne,2009-10-18,2009-10-24,,,,,
6,GRON,Garonne,2009-10-25,2009-10-31,,,,,
7,GRON,Garonne,2009-11-01,2009-11-07,,,,,
8,GRON,Garonne,2009-11-08,2009-11-14,,,,,
9,GRON,Garonne,2009-11-15,2009-11-21,,,,,
10,GRON,Garonne,2009-11-22,2009-11-28,,,,,
11,GRON,Garonne,2009-11-29,2009-12-05,,,,,
12,GRON,Garonne,2009-12-06,2009-12-12,,,,,
13,GRON,Garonne,2009-12-13,2009-12-19,,,,,
14,GRON,Garonne,2009-12-20,2009-12-26,,,,,
15,GRON,Garonne,2009-12-27,2010-01-02,,,,,
16,GRON,Garonne,2010-01-03,2010-01-09,,,,,
17,GRON,Garonne,2010-01-10,2010-01-16,,,,,
18,GRON,Garonne,2010-01-17,2010-01-23,,,,,
19,GRON,Garonne,2010-01-24,2010-01-30,,,,,
20,GRON,Garonne,2010-01-31,2010-02-06,,,,,
21,GRON,Garonne,2010-02-07,2010-02-13,,,,,
22,GRON,Garonne,2010-02-14,2010-02-20,,,,,
23,GRON,Garonne,2010-02-21,2010-02-27,,,,,
24,GRON,Garonne,2010-02-28,2010-03-06,,,,,
25,GRON,Garonne,2010-03-07,2010-03-13,,,,,
26,GRON,Garonne,2010-03-14,2010-03-20,,,,,
27,GRON,Garonne,2010-03-21,2010-03-27,,,,,
28,GRON,Garonne,2010-03-28,2010-04-03,,,,,
29,GRON,Garonne,2010-04-04,2010-04-10,,,,,
30,GRON,Garonne,2010-04-11,2010-04-17,,,,,
31,GRON,Garonne,2010-04-18,2010-04-24,,,,,
32,GRON,Garonne,2010-04-25,2010-05-01,,,,,
33,GRON,Garonne,2010-05-02,2010-05-08,,,,,
