index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,JORD,Jordan,2008-06-30,2009-06-30,,,,,
1,JORD,Jordan,2009-07-01,2010-06-30,,,,,
2,JORD,Jordan,2010-07-01,2010-12-31,,,,,
3,JORD,Jordan,2011-01-01,2011-06-30,,,,,
4,JORD,Jordan,2011-07-01,2011-09-30,,,,,
5,JORD,Jordan,2011-10-01,2011-12-31,,,,,
6,JORD,Jordan,2012-01-01,2012-03-31,,,,,
7,JORD,Jordan,2012-04-01,2012-06-30,,,,,
8,JORD,Jordan,2012-07-01,2012-09-30,,,,,
9,JORD,Jordan,2012-10-01,2012-12-31,,,,,
10,JORD,Jordan,2013-01-01,2013-03-31,,,,,
11,JORD,Jordan,2013-04-01,2013-06-30,,,,,
12,JORD,Jordan,2013-07-01,2013-09-30,,,,,
13,JORD,Jordan,2013-10-01,2013-12-31,,,,,
14,JORD,Jordan,2014-01-01,2014-03-31,,,,,
15,JORD,Jordan,2014-04-01,2014-06-30,,,,,
16,JORD,Jordan,2014-07-01,2014-09-30,,,,,
17,JORD,Jordan,2014-10-01,2014-12-31,,,,,
18,JORD,Jordan,2015-01-01,2015-03-31,,,,,
19,JORD,Jordan,2015-04-01,2015-06-30,,,,,
20,JORD,Jordan,2015-07-01,2015-09-30,,,,,
21,JORD,Jordan,2015-10-01,2015-12-31,,,,,
22,JORD,Jordan,2016-01-01,2016-03-31,,,,,
23,JORD,Jordan,2016-04-01,2016-06-30,,,,,
24,JORD,Jordan,2016-07-01,2016-09-30,,,,,
25,JORD,Jordan,2016-10-01,2016-12-31,,,,,
26,JORD,Jordan,2017-01-01,2017-03-31,,,,,
27,JORD,Jordan,2017-04-01,2017-06-30,,,,,
28,JORD,Jordan,2017-07-01,2017-09-30,,,,,
29,JORD,Jordan,2017-10-01,2017-12-31,,,,,
30,JORD,Jordan,2018-01-01,2018-03-31,,,,,
31,JORD,Jordan,2018-04-01,2018-06-30,,,,,
32,JORD,Jordan,2018-07-01,2018-09-30,,,,,
33,JORD,Jordan,2018-10-01,2018-12-31,,,,,
34,JORD,Jordan,2019-01-01,2019-03-31,,,,,
35,JORD,Jordan,2019-04-01,2019-06-30,,,,,
36,JORD,Jordan,2019-07-01,2019-12-31,,,,,
37,JORD,Jordan,2020-01-01,2020-06-30,,,,,
38,JORD,Jordan,2020-07-01,2020-12-31,,,,,
39,JORD,Jordan,2021-01-01,2021-06-30,,,,,
40,JORD,Jordan,2021-07-01,2021-12-31,,,,,
41,JORD,Jordan,2022-01-01,2022-06-30,,,,,
42,JORD,Jordan,2022-07-01,2022-12-31,,,,,
43,JORD,Jordan,2023-01-01,2023-06-30,,,,,
44,JORD,Jordan,2023-07-01,2023-09-30,,,,,
45,JORD,Jordan,2023-10-01,2023-12-31,,,,,
46,JORD,Jordan,2024-01-01,2024-03-15,,,,,
