index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,NGER,Niger,2008-06-30,2008-12-31,,,,,
1,NGER,Niger,2009-01-01,2009-06-30,,,,,
2,NGER,Niger,2009-07-01,2009-12-31,,,,,
3,NGER,Niger,2010-01-01,2010-06-30,,,,,
4,NGER,Niger,2010-07-01,2010-12-31,,,,,
5,NGER,Niger,2011-01-01,2011-06-30,,,,,
6,NGER,Niger,2011-07-01,2011-12-31,,,,,
7,NGER,Niger,2012-01-01,2012-06-30,,,,,
8,NGER,Niger,2012-07-01,2012-12-31,,,,,
9,NGER,Niger,2013-01-01,2013-06-30,,,,,
10,NGER,Niger,2013-07-01,2013-12-31,,,,,
11,NGER,Niger,2014-01-01,2014-06-30,,,,,
12,NGER,Niger,2014-07-01,2014-12-31,,,,,
13,NGER,Niger,2015-01-01,2015-06-30,,,,,
14,NGER,Niger,2015-07-01,2015-12-31,,,,,
15,NGER,Niger,2016-01-01,2016-06-30,,,,,
16,NGER,Niger,2016-07-01,2016-12-31,,,,,
17,NGER,Niger,2017-01-01,2017-06-30,,,,,
18,NGER,Niger,2017-07-01,2017-07-31,,,,,
19,NGER,Niger,2017-08-01,2017-08-31,,,,,
20,NGER,Niger,2017-09-01,2017-09-30,,,,,
21,NGER,Niger,2017-10-01,2017-10-31,,,,,
22,NGER,Niger,2017-11-01,2017-11-30,,,,,
23,NGER,Niger,2017-12-01,2017-12-31,,,,,
24,NGER,Niger,2018-01-01,2018-01-31,,,,,
25,NGER,Niger,2018-02-01,2018-02-28,,,,,
26,NGER,Niger,2018-03-01,2018-03-31,,,,,
27,NGER,Niger,2018-04-01,2018-04-30,,,,,
28,NGER,Niger,2018-05-01,2018-05-31,,,,,
29,NGER,Niger,2018-06-01,2018-06-30,,,,,
30,NGER,Niger,2018-07-01,2018-07-31,,,,,
31,NGER,Niger,2018-08-01,2018-08-31,,,,,
32,NGER,Niger,2018-09-01,2018-09-30,,,,,
33,NGER,Niger,2018-10-01,2018-10-31,,,,,
34,NGER,Niger,2018-11-01,2018-11-30,,,,,
35,NGER,Niger,2018-12-01,2018-12-31,,,,,
36,NGER,Niger,2019-01-01,2019-01-31,,,,,
37,NGER,Niger,2019-02-01,2019-02-28,,,,,
38,NGER,Niger,2019-03-01,2019-03-31,,,,,
39,NGER,Niger,2019-04-01,2019-04-30,,,,,
40,NGER,Niger,2019-05-01,2019-05-31,,,,,
41,NGER,Niger,2019-06-01,2019-06-30,,,,,
42,NGER,Niger,2019-07-01,2019-07-31,,,,,
43,NGER,Niger,2019-08-01,2019-08-31,,,,,
44,NGER,Niger,2019-09-01,2019-09-30,,,,,
45,NGER,Niger,2019-10-01,2019-10-31,,,,,
46,NGER,Niger,2019-11-01,2019-11-30,,,,,
47,NGER,Niger,2019-12-01,2019-12-31,,,,,
48,NGER,Niger,2020-01-01,2020-01-31,,,,,
49,NGER,Niger,2020-02-01,2020-02-29,,,,,
50,NGER,Niger,2020-03-01,2020-03-31,,,,,
51,NGER,Niger,2020-04-01,2020-04-30,,,,,
52,NGER,Niger,2020-05-01,2020-05-31,,,,,
53,NGER,Niger,2020-06-01,2020-06-30,,,,,
54,NGER,Niger,2020-07-01,2020-07-31,,,,,
55,NGER,Niger,2020-08-01,2020-08-31,,,,,
56,NGER,Niger,2020-09-01,2020-09-30,,,,,
57,NGER,Niger,2020-10-01,2020-10-31,,,,,
58,NGER,Niger,2020-11-01,2020-11-30,,,,,
59,NGER,Niger,2020-12-01,2020-12-31,,,,,
60,NGER,Niger,2021-01-01,2021-01-31,,,,,
61,NGER,Niger,2021-02-01,2021-02-28,,,,,
62,NGER,Niger,2021-03-01,2021-03-31,,,,,
63,NGER,Niger,2021-04-01,2021-04-30,,,,,
64,NGER,Niger,2021-05-01,2021-05-31,,,,,
65,NGER,Niger,2021-06-01,2021-06-30,,,,,
66,NGER,Niger,2021-07-01,2021-07-31,,,,,
67,NGER,Niger,2021-08-01,2021-08-31,,,,,
68,NGER,Niger,2021-09-01,2021-09-30,,,,,
69,NGER,Niger,2021-10-01,2021-10-31,,,,,
70,NGER,Niger,2021-11-01,2021-11-30,,,,,
71,NGER,Niger,2021-12-01,2021-12-31,,,,,
72,NGER,Niger,2022-01-01,2022-01-31,,,,,
73,NGER,Niger,2022-02-01,2022-02-28,,,,,
74,NGER,Niger,2022-03-01,2022-03-31,,,,,
75,NGER,Niger,2022-04-01,2022-04-30,,,,,
76,NGER,Niger,2022-05-01,2022-05-31,,,,,
77,NGER,Niger,2022-06-01,2022-06-30,,,,,
78,NGER,Niger,2022-07-01,2022-07-31,,,,,
79,NGER,Niger,2022-08-01,2022-08-31,,,,,
80,NGER,Niger,2022-09-01,2022-09-30,,,,,
81,NGER,Niger,2022-10-01,2022-10-31,,,,,
82,NGER,Niger,2022-11-01,2022-11-30,,,,,
83,NGER,Niger,2022-12-01,2022-12-31,,,,,
84,NGER,Niger,2023-01-01,2023-01-31,,,,,
85,NGER,Niger,2023-02-01,2023-02-28,,,,,
86,NGER,Niger,2023-03-01,2023-03-31,,,,,
87,NGER,Niger,2023-04-01,2023-04-30,,,,,
88,NGER,Niger,2023-05-01,2023-05-31,,,,,
89,NGER,Niger,2023-06-01,2023-06-30,,,,,
90,NGER,Niger,2023-07-01,2023-07-31,,,,,
91,NGER,Niger,2023-08-01,2023-08-31,,,,,
92,NGER,Niger,2023-09-01,2023-09-30,,,,,
93,NGER,Niger,2023-10-01,2023-10-31,,,,,
94,NGER,Niger,2023-11-01,2023-11-30,,,,,
95,NGER,Niger,2023-12-01,2023-12-31,,,,,
96,NGER,Niger,2024-01-01,2024-01-31,,,,,
97,NGER,Niger,2024-02-01,2024-02-29,,,,,
98,NGER,Niger,2024-03-01,2024-03-15,,,,,
