index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,OBXX,Ob,2008-06-30,2008-12-31,,,,,
1,OBXX,Ob,2009-01-01,2009-06-30,,,,,
2,OBXX,Ob,2009-07-01,2009-12-31,,,,,
3,OBXX,Ob,2010-01-01,2010-06-30,,,,,
4,OBXX,Ob,2010-07-01,2010-12-31,,,,,
5,OBXX,Ob,2011-01-01,2011-06-30,,,,,
6,OBXX,Ob,2011-07-01,2011-12-31,,,,,
7,OBXX,Ob,2012-01-01,2012-06-30,,,,,
8,OBXX,Ob,2012-07-01,2012-12-31,,,,,
9,OBXX,Ob,2013-01-01,2013-06-30,,,,,
10,OBXX,Ob,2013-07-01,2013-12-31,,,,,
11,OBXX,Ob,2014-01-01,2014-06-30,,,,,
12,OBXX,Ob,2014-07-01,2014-12-31,,,,,
13,OBXX,Ob,2015-01-01,2015-06-30,,,,,
14,OBXX,Ob,2015-07-01,2015-09-30,,,,,
15,OBXX,Ob,2015-10-01,2015-12-31,,,,,
16,OBXX,Ob,2016-01-01,2016-03-31,,,,,
17,OBXX,Ob,2016-04-01,2016-06-30,,,,,
18,OBXX,Ob,2016-07-01,2016-09-30,,,,,
19,OBXX,Ob,2016-10-01,2016-12-31,,,,,
20,OBXX,Ob,2017-01-01,2017-03-31,,,,,
21,OBXX,Ob,2017-04-01,2017-06-30,,,,,
22,OBXX,Ob,2017-07-01,2017-07-31,,,,,
23,OBXX,Ob,2017-08-01,2017-08-31,,,,,
24,OBXX,Ob,2017-09-01,2017-09-30,,,,,
25,OBXX,Ob,2017-10-01,2017-10-31,,,,,
26,OBXX,Ob,2017-11-01,2017-11-30,,,,,
27,OBXX,Ob,2017-12-01,2017-12-31,,,,,
28,OBXX,Ob,2018-01-01,2018-01-31,,,,,
29,OBXX,Ob,2018-02-01,2018-02-28,,,,,
30,OBXX,Ob,2018-03-01,2018-03-31,,,,,
31,OBXX,Ob,2018-04-01,2018-04-30,,,,,
32,OBXX,Ob,2018-05-01,2018-05-31,,,,,
33,OBXX,Ob,2018-06-01,2018-06-30,,,,,
34,OBXX,Ob,2018-07-01,2018-07-31,,,,,
35,OBXX,Ob,2018-08-01,2018-08-31,,,,,
36,OBXX,Ob,2018-09-01,2018-09-30,,,,,
37,OBXX,Ob,2018-10-01,2018-10-31,,,,,
38,OBXX,Ob,2018-11-01,2018-11-30,,,,,
39,OBXX,Ob,2018-12-01,2018-12-31,,,,,
40,OBXX,Ob,2019-01-01,2019-01-31,,,,,
41,OBXX,Ob,2019-02-01,2019-02-28,,,,,
42,OBXX,Ob,2019-03-01,2019-03-31,,,,,
43,OBXX,Ob,2019-04-01,2019-04-30,,,,,
44,OBXX,Ob,2019-05-01,2019-05-31,,,,,
45,OBXX,Ob,2019-06-01,2019-06-30,,,,,
46,OBXX,Ob,2019-07-01,2019-07-31,,,,,
47,OBXX,Ob,2019-08-01,2019-08-31,,,,,
48,OBXX,Ob,2019-09-01,2019-09-30,,,,,
49,OBXX,Ob,2019-10-01,2019-10-31,,,,,
50,OBXX,Ob,2019-11-01,2019-11-30,,,,,
51,OBXX,Ob,2019-12-01,2019-12-31,,,,,
52,OBXX,Ob,2020-01-01,2020-01-31,,,,,
53,OBXX,Ob,2020-02-01,2020-02-29,,,,,
54,OBXX,Ob,2020-03-01,2020-03-31,,,,,
55,OBXX,Ob,2020-04-01,2020-04-30,,,,,
56,OBXX,Ob,2020-05-01,2020-05-31,,,,,
57,OBXX,Ob,2020-06-01,2020-06-30,,,,,
58,OBXX,Ob,2020-07-01,2020-07-31,,,,,
59,OBXX,Ob,2020-08-01,2020-08-31,,,,,
60,OBXX,Ob,2020-09-01,2020-09-30,,,,,
61,OBXX,Ob,2020-10-01,2020-10-31,,,,,
62,OBXX,Ob,2020-11-01,2020-11-30,,,,,
63,OBXX,Ob,2020-12-01,2020-12-31,,,,,
64,OBXX,Ob,2021-01-01,2021-01-31,,,,,
65,OBXX,Ob,2021-02-01,2021-02-28,,,,,
66,OBXX,Ob,2021-03-01,2021-03-31,,,,,
67,OBXX,Ob,2021-04-01,2021-04-30,,,,,
68,OBXX,Ob,2021-05-01,2021-05-31,,,,,
69,OBXX,Ob,2021-06-01,2021-06-30,,,,,
70,OBXX,Ob,2021-07-01,2021-09-30,,,,,
71,OBXX,Ob,2021-10-01,2021-12-31,,,,,
72,OBXX,Ob,2022-01-01,2022-03-31,,,,,
73,OBXX,Ob,2022-04-01,2022-06-30,,,,,
74,OBXX,Ob,2022-07-01,2022-09-30,,,,,
75,OBXX,Ob,2022-10-01,2022-12-31,,,,,
76,OBXX,Ob,2023-01-01,2023-03-31,,,,,
77,OBXX,Ob,2023-04-01,2023-06-30,,,,,
78,OBXX,Ob,2023-07-01,2023-09-30,,,,,
79,OBXX,Ob,2023-10-01,2023-12-31,,,,,
80,OBXX,Ob,2024-01-01,2024-03-15,,,,,
