index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
1,BAKR,Baker,6/30/2008,4/30/2010,,803.0,,ResultsList_bakr_202207_result_min_1_result_max_803_start_date_6/30/2008_end_date_4/30/2010,1.0
2,BAKR,Baker,5/1/2010,9/30/2011,,820,,ResultsList_bakr_202207_result_min_1_result_max_820_start_date_5/1/2010_end_date_9/30/2011,1.0
3,BAKR,Baker,10/1/2011,8/31/2012,,733,,ResultsList_bakr_202207_result_min_1_result_max_733_start_date_10/1/2011_end_date_8/31/2012,1.0
4,BAKR,Baker,9/1/2012,12/31/2012,,,,,
5,BAKR,Baker,1/1/2013,3/14/2013,,,,,
6,BAKR,Baker,3/15/2013,6/30/2013,,,,,
7,BAKR,Baker,7/1/2013,9/30/2013,,,,,
8,BAKR,Baker,10/1/2013,11/30/2013,,,,,
9,BAKR,Baker,12/1/2013,1/31/2014,,,,,
10,BAKR,Baker,2/1/2014,5/31/2014,,,,,
11,BAKR,Baker,6/1/2014,8/31/2014,,,,,
12,BAKR,Baker,9/1/2014,11/30/2014,,,,,
13,BAKR,Baker,12/1/2014,3/31/2015,,,,,
14,BAKR,Baker,4/1/2015,6/30/2015,,,,,
15,BAKR,Baker,7/1/2015,10/31/2015,,,,,
16,BAKR,Baker,11/1/2015,1/31/2016,,,,,
17,BAKR,Baker,2/1/2016,6/30/2016,,,,,
18,BAKR,Baker,7/1/2016,9/13/2016,,,,,
19,BAKR,Baker,9/14/2016,10/31/2016,,,,,
20,BAKR,Baker,11/1/2016,1/7/2017,,,,,
21,BAKR,Baker,1/8/2017,1/8/2017,,,,,
22,BAKR,Baker,1/9/2017,3/31/2017,,,,,
23,BAKR,Baker,4/1/2017,7/31/2017,,,,,
24,BAKR,Baker,8/1/2017,10/31/2017,,,,,
25,BAKR,Baker,11/1/2017,3/31/2018,,,,,
26,BAKR,Baker,4/1/2018,7/31/2018,,,,,
27,BAKR,Baker,8/1/2018,10/31/2018,,,,,
28,BAKR,Baker,11/1/2018,1/31/2019,,,,,
29,BAKR,Baker,2/1/2019,5/31/2019,,,,,
30,BAKR,Baker,6/1/2019,9/30/2019,,,,,
31,BAKR,Baker,10/1/2019,1/31/2020,,,,,
32,BAKR,Baker,2/1/2020,6/30/2020,,,,,
33,BAKR,Baker,7/1/2020,9/30/2020,,,,,
34,BAKR,Baker,10/1/2020,12/31/2020,,,,,
35,BAKR,Baker,1/1/2021,8/31/2021,,,,,
36,BAKR,Baker,9/1/2021,4/30/2022,,,,,
37,BAKR,Baker,5/1/2022,12/31/2022,,,,,
38,BAKR,Baker,1/1/2023,7/1/2023,,,,,
