index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,TIGR,Tigris-Euphrates/Shatt al Arab,2014-07-01,2015-05-31,,,,,
1,TIGR,Tigris-Euphrates/Shatt al Arab,2015-06-01,2016-06-30,,,,,
2,TIGR,Tigris-Euphrates/Shatt al Arab,2016-07-01,2016-12-31,,,,,
3,TIGR,Tigris-Euphrates/Shatt al Arab,2017-01-01,2017-04-30,,,,,
4,TIGR,Tigris-Euphrates/Shatt al Arab,2017-05-01,2017-09-30,,,,,
5,TIGR,Tigris-Euphrates/Shatt al Arab,2017-10-01,2018-04-30,,,,,
6,TIGR,Tigris-Euphrates/Shatt al Arab,2018-05-01,2018-11-30,,,,,
7,TIGR,Tigris-Euphrates/Shatt al Arab,2018-12-01,2019-03-31,,,,,
8,TIGR,Tigris-Euphrates/Shatt al Arab,2019-04-01,2019-12-31,,,,,
9,TIGR,Tigris-Euphrates/Shatt al Arab,2020-01-01,2021-12-31,,,,,
10,TIGR,Tigris-Euphrates/Shatt al Arab,2022-01-01,2023-11-30,,,,,
