index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,RHON,Rhone,2008-06-30,2009-06-30,,,,,
1,RHON,Rhone,2009-07-01,2010-06-30,,,,,
2,RHON,Rhone,2010-07-01,2010-12-31,,,,,
3,RHON,Rhone,2011-01-01,2011-06-30,,,,,
4,RHON,Rhone,2011-07-01,2011-12-31,,,,,
5,RHON,Rhone,2012-01-01,2012-06-30,,,,,
6,RHON,Rhone,2012-07-01,2012-09-30,,,,,
7,RHON,Rhone,2012-10-01,2012-10-31,,,,,
8,RHON,Rhone,2012-11-01,2012-11-30,,,,,
9,RHON,Rhone,2012-12-01,2012-12-31,,,,,
10,RHON,Rhone,2013-01-01,2013-01-31,,,,,
11,RHON,Rhone,2013-02-01,2013-02-28,,,,,
12,RHON,Rhone,2013-03-01,2013-03-31,,,,,
13,RHON,Rhone,2013-04-01,2013-04-30,,,,,
14,RHON,Rhone,2013-05-01,2013-05-31,,,,,
15,RHON,Rhone,2013-06-01,2013-06-30,,,,,
16,RHON,Rhone,2013-07-01,2013-07-31,,,,,
17,RHON,Rhone,2013-08-01,2013-08-31,,,,,
18,RHON,Rhone,2013-09-01,2013-09-30,,,,,
19,RHON,Rhone,2013-10-01,2013-10-31,,,,,
20,RHON,Rhone,2013-11-01,2013-11-30,,,,,
21,RHON,Rhone,2013-12-01,2013-12-31,,,,,
22,RHON,Rhone,2014-01-01,2014-01-31,,,,,
23,RHON,Rhone,2014-02-01,2014-02-28,,,,,
24,RHON,Rhone,2014-03-01,2014-03-31,,,,,
25,RHON,Rhone,2014-04-01,2014-04-30,,,,,
26,RHON,Rhone,2014-05-01,2014-05-31,,,,,
27,RHON,Rhone,2014-06-01,2014-06-30,,,,,
28,RHON,Rhone,2014-07-01,2014-07-31,,,,,
29,RHON,Rhone,2014-08-01,2014-08-31,,,,,
30,RHON,Rhone,2014-09-01,2014-09-30,,,,,
31,RHON,Rhone,2014-10-01,2014-10-31,,,,,
32,RHON,Rhone,2014-11-01,2014-11-30,,,,,
33,RHON,Rhone,2014-12-01,2014-12-31,,,,,
34,RHON,Rhone,2015-01-01,2015-01-31,,,,,
35,RHON,Rhone,2015-02-01,2015-02-28,,,,,
36,RHON,Rhone,2015-03-01,2015-03-31,,,,,
37,RHON,Rhone,2015-04-01,2015-04-30,,,,,
38,RHON,Rhone,2015-05-01,2015-05-31,,,,,
39,RHON,Rhone,2015-06-01,2015-06-30,,,,,
40,RHON,Rhone,2015-07-01,2015-07-31,,,,,
41,RHON,Rhone,2015-08-01,2015-08-31,,,,,
42,RHON,Rhone,2015-09-01,2015-09-30,,,,,
43,RHON,Rhone,2015-10-01,2015-10-31,,,,,
44,RHON,Rhone,2015-11-01,2015-11-30,,,,,
45,RHON,Rhone,2015-12-01,2015-12-31,,,,,
46,RHON,Rhone,2016-01-01,2016-01-31,,,,,
47,RHON,Rhone,2016-02-01,2016-02-29,,,,,
48,RHON,Rhone,2016-03-01,2016-03-31,,,,,
49,RHON,Rhone,2016-04-01,2016-04-30,,,,,
50,RHON,Rhone,2016-05-01,2016-05-31,,,,,
51,RHON,Rhone,2016-06-01,2016-06-30,,,,,
52,RHON,Rhone,2016-07-01,2016-07-31,,,,,
53,RHON,Rhone,2016-08-01,2016-08-31,,,,,
54,RHON,Rhone,2016-09-01,2016-09-30,,,,,
55,RHON,Rhone,2016-10-01,2016-10-31,,,,,
56,RHON,Rhone,2016-11-01,2016-11-30,,,,,
57,RHON,Rhone,2016-12-01,2016-12-31,,,,,
58,RHON,Rhone,2017-01-01,2017-01-31,,,,,
59,RHON,Rhone,2017-02-01,2017-02-28,,,,,
60,RHON,Rhone,2017-03-01,2017-03-31,,,,,
61,RHON,Rhone,2017-04-01,2017-04-30,,,,,
62,RHON,Rhone,2017-05-01,2017-05-31,,,,,
63,RHON,Rhone,2017-06-01,2017-06-30,,,,,
64,RHON,Rhone,2017-07-01,2017-07-31,,,,,
65,RHON,Rhone,2017-08-01,2017-08-31,,,,,
66,RHON,Rhone,2017-09-01,2017-09-30,,,,,
67,RHON,Rhone,2017-10-01,2017-10-31,,,,,
68,RHON,Rhone,2017-11-01,2017-11-30,,,,,
69,RHON,Rhone,2017-12-01,2017-12-31,,,,,
70,RHON,Rhone,2018-01-01,2018-01-31,,,,,
71,RHON,Rhone,2018-02-01,2018-02-28,,,,,
72,RHON,Rhone,2018-03-01,2018-03-31,,,,,
73,RHON,Rhone,2018-04-01,2018-04-30,,,,,
74,RHON,Rhone,2018-05-01,2018-05-31,,,,,
75,RHON,Rhone,2018-06-01,2018-06-30,,,,,
76,RHON,Rhone,2018-07-01,2018-07-31,,,,,
77,RHON,Rhone,2018-08-01,2018-08-31,,,,,
78,RHON,Rhone,2018-09-01,2018-09-30,,,,,
79,RHON,Rhone,2018-10-01,2018-10-31,,,,,
80,RHON,Rhone,2018-11-01,2018-11-30,,,,,
81,RHON,Rhone,2018-12-01,2018-12-31,,,,,
82,RHON,Rhone,2019-01-01,2019-01-31,,,,,
83,RHON,Rhone,2019-02-01,2019-02-28,,,,,
84,RHON,Rhone,2019-03-01,2019-03-31,,,,,
85,RHON,Rhone,2019-04-01,2019-04-30,,,,,
86,RHON,Rhone,2019-05-01,2019-05-31,,,,,
87,RHON,Rhone,2019-06-01,2019-06-30,,,,,
88,RHON,Rhone,2019-07-01,2019-07-31,,,,,
89,RHON,Rhone,2019-08-01,2019-08-31,,,,,
90,RHON,Rhone,2019-09-01,2019-09-30,,,,,
91,RHON,Rhone,2019-10-01,2019-10-31,,,,,
92,RHON,Rhone,2019-11-01,2019-11-30,,,,,
93,RHON,Rhone,2019-12-01,2019-12-31,,,,,
94,RHON,Rhone,2020-01-01,2020-01-31,,,,,
