index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SALW,Salween,2008-06-30,2009-06-30,,,,,0.0
1,SALW,Salween,2009-07-01,2010-06-30,,,,,0.0
2,SALW,Salween,2010-07-01,2010-12-31,,,,,0.0
3,SALW,Salween,2011-01-01,2011-06-30,,,,,
4,SALW,Salween,2011-07-01,2011-12-31,,,,,
5,SALW,Salween,2012-01-01,2012-06-30,,,,,
6,SALW,Salween,2012-07-01,2012-12-31,,,,,
7,SALW,Salween,2013-01-01,2013-06-30,,,,,
8,SALW,Salween,2013-07-01,2013-12-31,,,,,
9,SALW,Salween,2014-01-01,2014-06-30,,,,,
10,SALW,Salween,2014-07-01,2014-12-31,,,,,
11,SALW,Salween,2015-01-01,2015-06-30,,,,,
12,SALW,Salween,2015-07-01,2015-09-30,,,,,
13,SALW,Salween,2015-10-01,2015-12-31,,,,,
14,SALW,Salween,2016-01-01,2016-03-31,,,,,
15,SALW,Salween,2016-04-01,2016-06-30,,,,,
16,SALW,Salween,2016-07-01,2016-09-30,,,,,
17,SALW,Salween,2016-10-01,2016-12-31,,,,,
18,SALW,Salween,2017-01-01,2017-03-31,,,,,
19,SALW,Salween,2017-04-01,2017-06-30,,,,,
20,SALW,Salween,2017-07-01,2017-09-30,,,,,
21,SALW,Salween,2017-10-01,2017-12-31,,,,,
22,SALW,Salween,2018-01-01,2018-03-31,,,,,
23,SALW,Salween,2018-04-01,2018-06-30,,,,,
24,SALW,Salween,2018-07-01,2018-07-31,,,,,
25,SALW,Salween,2018-08-01,2018-08-31,,,,,
26,SALW,Salween,2018-09-01,2018-09-30,,,,,
27,SALW,Salween,2018-10-01,2018-10-31,,,,,
28,SALW,Salween,2018-11-01,2018-11-30,,,,,
29,SALW,Salween,2018-12-01,2018-12-31,,,,,
30,SALW,Salween,2019-01-01,2019-01-31,,,,,
31,SALW,Salween,2019-02-01,2019-02-28,,,,,
32,SALW,Salween,2019-03-01,2019-03-31,,,,,
33,SALW,Salween,2019-04-01,2019-04-30,,,,,
34,SALW,Salween,2019-05-01,2019-05-31,,,,,
35,SALW,Salween,2019-06-01,2019-06-30,,,,,
36,SALW,Salween,2019-07-01,2019-07-31,,,,,
37,SALW,Salween,2019-08-01,2019-08-31,,,,,
38,SALW,Salween,2019-09-01,2019-09-30,,,,,
39,SALW,Salween,2019-10-01,2019-10-31,,,,,
40,SALW,Salween,2019-11-01,2019-11-30,,,,,
41,SALW,Salween,2019-12-01,2019-12-31,,,,,
42,SALW,Salween,2020-01-01,2020-01-31,,,,,
43,SALW,Salween,2020-02-01,2020-02-29,,,,,
44,SALW,Salween,2020-03-01,2020-03-31,,,,,
45,SALW,Salween,2020-04-01,2020-04-30,,,,,
46,SALW,Salween,2020-05-01,2020-05-31,,,,,
47,SALW,Salween,2020-06-01,2020-06-30,,,,,
48,SALW,Salween,2020-07-01,2020-09-30,,,,,
49,SALW,Salween,2020-10-01,2020-12-31,,,,,
50,SALW,Salween,2021-01-01,2021-03-31,,,,,
51,SALW,Salween,2021-04-01,2021-06-30,,,,,
52,SALW,Salween,2021-07-01,2021-09-30,,,,,
53,SALW,Salween,2021-10-01,2021-12-31,,,,,
54,SALW,Salween,2022-01-01,2022-03-31,,,,,
55,SALW,Salween,2022-04-01,2022-06-30,,,,,
56,SALW,Salween,2022-07-01,2022-09-30,,,,,
57,SALW,Salween,2022-10-01,2022-12-31,,,,,
58,SALW,Salween,2023-01-01,2023-03-31,,,,,
59,SALW,Salween,2023-04-01,2023-06-30,,,,,
60,SALW,Salween,2023-07-01,2023-09-30,,,,,
61,SALW,Salween,2023-10-01,2023-12-31,,,,,
62,SALW,Salween,2024-01-01,2024-03-15,,,,,
