index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,SPAU,St. Paul,2008-06-30,2011-06-30,,,1.0,,0.0
1,SPAU,St. Paul,2011-07-01,2012-12-31,,,0.0,,0.0
2,SPAU,St. Paul,2013-01-01,2013-12-31,,,0.0,,0.0
3,SPAU,St. Paul,2014-01-01,2014-06-30,,,,,
4,SPAU,St. Paul,2014-07-01,2014-12-31,,,,,
5,SPAU,St. Paul,2015-01-01,2015-06-30,,,,,
6,SPAU,St. Paul,2015-07-01,2015-12-31,,,,,
7,SPAU,St. Paul,2016-01-01,2016-06-30,,,,,
8,SPAU,St. Paul,2016-07-01,2016-12-31,,,,,
9,SPAU,St. Paul,2017-01-01,2017-06-30,,,,,
10,SPAU,St. Paul,2017-07-01,2017-12-31,,,,,
11,SPAU,St. Paul,2018-01-01,2018-06-30,,,,,
12,SPAU,St. Paul,2018-07-01,2018-12-31,,,,,
13,SPAU,St. Paul,2019-01-01,2019-06-30,,,,,
14,SPAU,St. Paul,2019-07-01,2019-12-31,,,,,
15,SPAU,St. Paul,2020-01-01,2020-06-30,,,,,
16,SPAU,St. Paul,2020-07-01,2020-12-31,,,,,
17,SPAU,St. Paul,2021-01-01,2021-06-30,,,,,
18,SPAU,St. Paul,2021-07-01,2021-12-31,,,,,
19,SPAU,St. Paul,2022-01-01,2022-06-30,,,,,
20,SPAU,St. Paul,2022-07-01,2022-12-31,,,,,
21,SPAU,St. Paul,2023-01-01,2023-06-30,,,,,
22,SPAU,St. Paul,2023-07-01,2023-12-31,,,,,
23,SPAU,St. Paul,2024-01-01,2024-03-15,,,,,
