index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,VJSE,Vijose,2008-06-30,2017-06-30,,,,,
1,VJSE,Vijose,2017-07-01,2017-08-31,,,,,
2,VJSE,Vijose,2017-09-01,2017-10-31,,,,,
3,VJSE,Vijose,2017-11-01,2017-12-31,,,,,
4,VJSE,Vijose,2018-01-01,2018-02-28,,,,,
5,VJSE,Vijose,2018-03-01,2018-04-30,,,,,
6,VJSE,Vijose,2018-05-01,2018-06-30,,,,,
7,VJSE,Vijose,2018-07-01,2019-09-30,,,,,
8,VJSE,Vijose,2019-10-01,2021-03-31,,,,,
9,VJSE,Vijose,2023-04-01,2023-06-30,,,,,
10,VJSE,Vijose,2023-07-01,2023-09-30,,,,,
11,VJSE,Vijose,2023-10-01,2023-12-31,,,,,
12,VJSE,Vijose,2024-01-01,2024-03-15,,,,,
