index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,YNSY,Jenisej/Yenisey,2008-06-30,2010-06-30,,,,,
1,YNSY,Jenisej/Yenisey,2010-07-01,2012-06-30,,,,,
2,YNSY,Jenisej/Yenisey,2012-07-01,2014-06-30,,,,,
3,YNSY,Jenisej/Yenisey,2014-07-01,2015-06-30,,,,,
4,YNSY,Jenisej/Yenisey,2015-07-01,2016-06-30,,,,,
5,YNSY,Jenisej/Yenisey,2016-07-01,2017-06-30,,,,,
6,YNSY,Jenisej/Yenisey,2017-07-01,2018-06-30,,,,,
7,YNSY,Jenisej/Yenisey,2018-07-01,2019-06-30,,,,,
8,YNSY,Jenisej/Yenisey,2019-07-01,2020-06-30,,,,,
9,YNSY,Jenisej/Yenisey,2020-07-01,2021-06-30,,,,,
10,YNSY,Jenisej/Yenisey,2021-07-01,2022-06-30,,,,,
11,YNSY,Jenisej/Yenisey,2022-07-01,2023-07-01,,,,,
12,YNSY,Jenisej/Yenisey,2023-07-02,2023-12-31,,,,,
13,YNSY,Jenisej/Yenisey,2024-01-01,2024-03-15,,,,,
