index,basin,start_date,end_date,basin_count,over_one_thousand,finished
0,basin_name,01/01/2008,01/31/2008,,,1
1,basin_name,02/01/2008,02/29/2008,,,1
2,basin_name,03/01/2008,03/31/2008,,,1
3,basin_name,04/01/2008,04/30/2008,,,1
4,basin_name,05/01/2008,05/31/2008,,,1
5,basin_name,06/01/2008,06/30/2008,,,1
6,basin_name,07/01/2008,07/31/2008,,,1
7,basin_name,08/01/2008,08/31/2008,,,1
8,basin_name,09/01/2008,09/30/2008,,,1
9,basin_name,10/01/2008,10/31/2008,,,0
10,basin_name,11/01/2008,11/30/2008,,,0
11,basin_name,12/01/2008,12/31/2008,,,0
12,basin_name,01/01/2009,01/31/2009,,,0
13,basin_name,02/01/2009,02/28/2009,,,0
14,basin_name,03/01/2009,03/31/2009,,,0
15,basin_name,04/01/2009,04/30/2009,,,0
16,basin_name,05/01/2009,05/31/2009,,,0
17,basin_name,06/01/2009,06/30/2009,,,0
18,basin_name,07/01/2009,07/31/2009,,,0
19,basin_name,08/01/2009,08/31/2009,,,0
20,basin_name,09/01/2009,09/30/2009,,,0
21,basin_name,10/01/2009,10/31/2009,,,0
22,basin_name,11/01/2009,11/30/2009,,,0
23,basin_name,12/01/2009,12/31/2009,,,0
24,basin_name,01/01/2010,01/31/2010,,,0
25,basin_name,02/01/2010,02/28/2010,,,0
26,basin_name,03/01/2010,03/31/2010,,,0
27,basin_name,04/01/2010,04/30/2010,,,0
28,basin_name,05/01/2010,05/31/2010,,,0
29,basin_name,06/01/2010,06/30/2010,,,0
30,basin_name,07/01/2010,07/31/2010,,,0
31,basin_name,08/01/2010,08/31/2010,,,0
32,basin_name,09/01/2010,09/30/2010,,,0
33,basin_name,10/01/2010,10/31/2010,,,0
34,basin_name,11/01/2010,11/30/2010,,,0
35,basin_name,12/01/2010,12/31/2010,,,0
36,basin_name,01/01/2011,01/31/2011,,,0
37,basin_name,02/01/2011,02/28/2011,,,0
38,basin_name,03/01/2011,03/31/2011,,,0
39,basin_name,04/01/2011,04/30/2011,,,0
40,basin_name,05/01/2011,05/31/2011,,,0
41,basin_name,06/01/2011,06/30/2011,,,0
42,basin_name,07/01/2011,07/31/2011,,,0
43,basin_name,08/01/2011,08/31/2011,,,0
44,basin_name,09/01/2011,09/30/2011,,,0
45,basin_name,10/01/2011,10/31/2011,,,0
